month_since_churn,voluntary_monthly_rate,involuntary_monthly_rate,repeat_voluntary_rate,repeat_involuntary_rate
1,0.1,0.45,0.065,0.29250000000000004
2,0.065,0.15,0.04225,0.0975
3,0.065,0.07,0.04225,0.045500000000000006
4,0.0233333333,0.024,0.015166666645,0.015600000000000001
5,0.0233333333,0.0,0.015166666645,0.0
6,0.0233333333,0.0,0.015166666645,0.0
7,0.0233333333,0.0,0.015166666645,0.0
8,0.0233333333,0.0,0.015166666645,0.0
9,0.0233333333,0.0,0.015166666645,0.0
10,0.0133333333,0.0,0.008666666645,0.0
11,0.0133333333,0.0,0.008666666645,0.0
12,0.0133333333,0.0,0.008666666645,0.0
