Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,base,166.67,1004.07,2000000.0,1.27,0.0,0.0,0.0,1.34,0.24,1.58,18983.13,0.0,0.0,165.09,1981016.87,33677.29,15848.13,0.0,165.09,1998846.02,166570.5,0.9905,0.0006,0.9994,12048.89,18073.33,0.0,0.78,16266.0,0.0,20.77,0.6731,0.0076,0.0
2,base,165.09,1008.16,1998846.02,1.32,0.0,0.0,0.0,1.36,0.24,1.6,19351.14,0.09,1068.82,163.49,1979494.88,34324.44,15835.96,0.0,163.58,1999052.18,166587.68,0.9903,-0.0001,1.0001,12097.98,18146.97,0.0,0.78,16332.27,0.0,20.77,0.6812,0.008,0.0
3,base,163.58,1012.27,1999052.18,1.35,1.27,0.0,0.0,1.37,0.24,1.61,19606.4,0.13,1608.31,161.97,1979445.77,34816.27,15835.57,0.0,162.1,2000034.79,166669.57,0.9901,-0.0005,1.0005,12147.27,18220.9,0.0,0.78,16398.81,0.0,20.77,0.6859,0.0083,0.0
4,base,162.1,1016.4,2000034.79,1.37,1.32,1.27,15497.85,1.37,0.24,1.61,19649.98,0.17,2060.48,160.49,1980384.81,35013.2,15843.08,0.0,161.93,2017113.26,168092.77,0.9901,-0.0008,1.0008,12196.76,18295.13,15497.85,0.7801,16465.62,20922.09,20.77,0.7826,0.0084,0.0
5,base,161.93,1020.54,2017113.26,1.35,1.35,1.32,16156.72,1.37,0.24,1.61,19716.58,0.18,2247.91,160.32,1997396.68,35132.01,15979.17,0.0,161.82,2034954.15,169579.51,0.9901,-0.0008,1.0008,12246.45,18369.67,16156.72,0.7802,16532.7,21811.58,20.76,0.7863,0.0083,0.0
6,base,161.82,1024.7,2034954.15,2.91,1.37,1.35,16650.53,1.35,0.24,1.59,19572.49,0.2,2407.99,160.23,2015381.65,34946.72,16123.05,0.0,161.78,2053263.84,171105.32,0.9902,-0.0008,1.0008,12296.34,18444.51,16650.53,0.7803,16600.06,22478.21,20.76,0.7882,0.0081,0.0
7,base,161.78,1028.87,2053263.84,1.26,1.35,1.37,16855.07,1.33,0.23,1.56,19303.5,0.21,2546.62,160.21,2033960.34,34577.33,16271.68,0.0,161.79,2071667.67,172638.97,0.9903,-0.0008,1.0008,12346.44,18519.66,16855.07,0.7804,16667.69,22754.35,20.76,0.7879,0.0078,0.0
8,base,161.79,1033.06,2071667.67,1.21,2.91,1.35,16752.1,1.3,0.23,1.54,19031.28,0.21,2646.57,160.25,2052636.39,34196.92,16421.09,0.0,161.82,2089810.89,174150.91,0.9905,-0.0007,1.0007,12396.74,18595.11,16752.1,0.7804,16735.6,22615.33,20.76,0.7855,0.0075,0.0
9,base,161.82,1037.27,2089810.89,1.18,1.26,2.91,36273.05,1.29,0.23,1.52,18881.81,0.22,2737.74,160.3,2070929.08,33986.23,16567.43,0.0,163.43,2127358.66,177279.89,0.9906,-0.0006,1.0006,12447.24,18670.87,36273.05,0.7806,16803.78,48968.61,20.75,0.8962,0.0073,0.0
10,base,163.43,1041.5,2127358.66,1.16,1.21,1.26,15791.54,1.31,0.23,1.54,19258.59,0.23,2830.77,161.89,2108100.07,34404.19,16864.8,0.0,163.38,2144261.78,178688.48,0.9906,-0.0005,1.0005,12497.96,18746.93,15791.54,0.7807,16872.24,21318.59,20.75,0.7761,0.0071,0.0
