Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,competition,166.67,1002.87,2000000.0,0.92,0.0,0.0,0.0,1.55,0.27,1.83,21972.99,0.0,0.0,164.84,1978027.01,26228.64,19748.62,0.0,164.84,1984507.03,165375.59,0.989,0.0077,0.9923,12034.45,18051.68,0.0,0.7799,17546.23,0.0,22.43,0.587,0.0055,0.0
2,competition,164.84,1005.75,1984507.03,0.95,0.0,0.0,0.0,1.57,0.28,1.84,22263.68,0.1,1235.67,163.0,1962243.35,26539.73,19591.04,0.0,163.1,1970427.72,164202.31,0.9888,0.0071,0.9929,12069.0,18103.5,0.0,0.7799,17596.6,0.0,22.44,0.5947,0.0058,0.0
3,competition,163.1,1008.64,1970427.72,0.97,0.92,0.0,0.0,1.58,0.28,1.85,22447.39,0.15,1851.07,161.24,1947980.33,26725.0,19448.64,0.0,161.4,1957107.76,163092.31,0.9886,0.0068,0.9932,12103.65,18155.47,0.0,0.7798,17647.12,0.0,22.44,0.5987,0.006,0.0
4,competition,161.4,1011.53,1957107.76,0.98,0.95,0.92,11110.41,1.57,0.28,1.85,22423.34,0.19,2362.65,159.55,1934684.42,26680.07,19315.89,0.0,160.66,1955521.67,162960.14,0.9886,0.0065,0.9935,12138.4,18207.6,11110.41,0.7798,17697.78,16198.98,22.44,0.6701,0.0061,0.0
5,competition,160.66,1014.44,1955521.67,0.97,0.97,0.95,11565.69,1.56,0.28,1.84,22381.41,0.21,2568.33,158.82,1933140.26,26521.41,19300.47,0.0,159.98,1954495.21,162874.6,0.9886,0.0064,0.9936,12173.25,18259.87,11565.69,0.7798,17748.59,16862.77,22.44,0.6735,0.006,0.0
6,competition,159.98,1017.35,1954495.21,2.3,0.98,0.97,11901.28,1.54,0.27,1.81,22134.15,0.22,2740.13,158.17,1932361.05,26135.57,19292.69,0.0,159.37,1953845.34,162820.44,0.9887,0.0064,0.9936,12208.19,18312.29,11901.28,0.7798,17799.55,17352.06,22.44,0.6758,0.0059,0.0
7,competition,159.37,1020.27,1953845.34,0.91,0.97,0.98,12029.03,1.51,0.27,1.78,21769.44,0.24,2887.93,157.59,1932075.89,25619.33,19289.85,0.0,158.81,1953322.34,162776.86,0.9888,0.0064,0.9936,12243.24,18364.86,12029.03,0.7798,17850.65,17538.32,22.44,0.6766,0.0057,0.0
8,competition,158.81,1023.2,1953322.34,0.87,2.3,0.97,11931.98,1.48,0.26,1.74,21407.96,0.24,2992.17,157.07,1931914.37,25104.84,19288.23,0.0,158.28,1952655.13,162721.26,0.989,0.0065,0.9935,12278.39,18417.59,11931.98,0.7798,17901.89,17396.83,22.44,0.6757,0.0055,0.0
9,competition,158.28,1026.14,1952655.13,0.84,0.91,2.3,28374.13,1.46,0.26,1.72,21171.05,0.25,3087.36,156.56,1931484.08,24724.27,19283.94,0.0,159.12,1968385.9,164032.16,0.9891,0.0065,0.9935,12313.64,18470.46,28374.13,0.7798,17953.29,41369.48,22.44,0.7765,0.0053,0.0
10,competition,159.12,1029.08,1968385.9,0.83,0.87,0.91,11202.62,1.48,0.26,1.74,21449.09,0.26,3184.01,157.38,1946936.81,24783.73,19438.22,0.0,158.54,1966668.94,163889.08,0.9891,0.0066,0.9934,12348.99,18523.49,11202.62,0.7798,18004.83,16333.41,22.44,0.6694,0.0052,0.0
11,competition,158.54,1032.04,1966668.94,0.84,0.84,0.87,10776.53,1.49,0.26,1.75,21666.2,0.26,3255.02,156.79,1945002.74,24897.32,19418.91,0.0,157.93,1964512.7,163709.39,0.989,0.0066,0.9934,12384.45,18576.67,10776.53,0.7798,18056.52,15712.17,22.44,0.6667,0.0053,0.0
12,competition,157.93,1035.0,1964512.7,2.23,0.83,0.84,10469.5,1.51,0.27,1.77,22043.86,0.27,3336.0,156.15,1942468.84,25241.99,19393.61,0.0,157.26,1962122.73,163510.23,0.9888,0.0065,0.9935,12420.0,18630.0,10469.5,0.7798,18108.36,15264.54,22.44,0.6652,0.0055,0.0
13,competition,157.26,1037.97,1962122.73,0.9,0.84,0.83,10391.61,1.54,0.27,1.81,22540.21,0.28,3434.17,155.45,1939582.52,25718.86,19364.79,0.0,156.56,1959762.37,163313.53,0.9885,0.0065,0.9935,12455.66,18683.48,10391.61,0.7798,18160.35,15150.96,22.44,0.6654,0.0058,0.0
14,competition,156.56,1040.95,1959762.37,0.94,2.23,0.84,10533.9,1.57,0.28,1.84,23028.89,0.28,3472.95,154.72,1936733.47,26194.71,19336.35,0.0,155.84,1957598.68,163133.22,0.9882,0.0065,0.9935,12491.42,18737.12,10533.9,0.7798,18212.48,15358.43,22.44,0.6665,0.006,0.0
15,competition,155.84,1043.94,1957598.68,0.96,0.9,2.23,27923.39,1.59,0.28,1.87,23383.66,0.28,3519.47,153.98,1934215.02,26536.15,19311.2,0.0,156.49,1972882.83,164406.9,0.988,0.0065,0.9935,12527.28,18790.92,27923.39,0.7799,18264.77,40712.3,22.43,0.7736,0.0062,0.0
16,competition,156.49,1046.94,1972882.83,0.98,0.94,0.9,11360.66,1.61,0.28,1.9,23850.16,0.28,3564.26,154.59,1949032.67,26877.94,19459.14,0.0,155.78,1971376.39,164281.37,0.9879,0.0065,0.9935,12563.24,18844.86,11360.66,0.7799,18317.21,16563.85,22.43,0.6707,0.0062,0.0
17,competition,155.78,1049.94,1971376.39,0.96,0.96,0.94,11835.71,1.59,0.28,1.88,23633.4,0.29,3616.0,153.9,1947742.99,26721.75,19446.27,0.0,155.13,1970470.18,164205.85,0.988,0.0065,0.9935,12599.31,18898.96,11835.71,0.7799,18369.79,17256.46,22.44,0.6743,0.0062,0.0
18,competition,155.13,1052.96,1970470.18,2.3,0.98,0.96,12189.35,1.57,0.28,1.84,23267.6,0.29,3633.68,153.28,1947202.58,26336.3,19440.87,0.0,154.54,1969921.04,164160.09,0.9881,0.0065,0.9935,12635.48,18953.22,12189.35,0.7798,18422.53,17772.07,22.44,0.6765,0.006,0.0
19,competition,154.54,1055.98,1969921.04,0.9,0.96,0.98,12360.01,1.53,0.27,1.8,22782.27,0.29,3630.1,152.74,1947138.78,25819.06,19440.23,0.0,154.0,1969507.71,164125.64,0.9884,0.0065,0.9935,12671.76,19007.63,12360.01,0.7798,18475.42,18020.9,22.44,0.6773,0.0058,0.0
20,competition,154.0,1059.01,1969507.71,0.86,2.3,0.96,12258.06,1.49,0.26,1.76,22305.25,0.28,3603.71,152.25,1947202.47,25303.51,19440.87,0.0,153.49,1968926.87,164077.24,0.9886,0.0065,0.9935,12708.14,19062.2,12258.06,0.7798,18528.46,17872.25,22.44,0.6763,0.0056,0.0
21,competition,153.49,1062.05,1968926.87,0.84,0.9,2.3,29276.11,1.46,0.26,1.72,21961.27,0.28,3568.49,151.77,1946965.6,24922.44,19438.5,0.0,154.35,1985294.13,165441.18,0.9888,0.0066,0.9934,12744.62,19116.93,29276.11,0.7799,18581.65,42684.56,22.43,0.7797,0.0054,0.0
22,competition,154.35,1065.1,1985294.13,0.83,0.86,0.9,11505.24,1.47,0.26,1.73,22155.66,0.28,3534.44,152.61,1963138.47,24989.97,19599.97,0.0,153.79,1983568.14,165297.35,0.9888,0.0067,0.9933,12781.21,19171.81,11505.24,0.7799,18635.0,16774.65,22.43,0.6695,0.0054,0.0
23,competition,153.79,1068.16,1983568.14,0.84,0.84,0.86,11066.22,1.47,0.26,1.73,22172.22,0.28,3527.86,152.06,1961395.93,25107.16,19582.58,0.0,153.2,1981514.59,165126.22,0.9888,0.0066,0.9934,12817.9,19226.85,11066.22,0.7799,18688.5,16134.54,22.43,0.6675,0.0054,0.0
24,competition,153.2,1071.23,1981514.59,2.22,0.83,0.84,10749.62,1.49,0.26,1.75,22523.22,0.27,3523.78,151.45,1958991.36,25456.7,19558.57,0.0,152.56,1979162.89,164930.24,0.9886,0.0066,0.9934,12854.7,19282.05,10749.62,0.7799,18742.15,15672.94,22.43,0.6657,0.0056,0.0
