Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,failed_price,166.67,1002.06,2000000.0,1.14,0.0,0.0,0.0,1.38,0.24,1.62,19489.17,0.0,0.0,165.05,1980510.83,30301.82,17602.78,0.0,165.05,1993209.86,166100.82,0.9903,0.0034,0.9966,12024.72,18037.08,0.0,0.78,16476.87,0.0,21.08,0.6392,0.0069,0.0
2,failed_price,165.05,1004.12,1993209.86,1.19,0.0,0.0,0.0,1.4,0.25,1.64,19808.24,0.09,1095.11,163.4,1973401.62,30796.91,17539.59,0.0,163.49,1987754.04,165646.17,0.99,0.0027,0.9973,12049.49,18074.23,0.0,0.7799,16510.81,0.0,21.08,0.6471,0.0072,0.0
3,failed_price,163.49,1006.19,1987754.04,1.22,1.14,0.0,0.0,1.41,0.25,1.66,20014.88,0.14,1643.51,161.84,1967739.16,31149.33,17489.27,0.0,161.97,1983042.73,165253.56,0.9899,0.0024,0.9976,12074.31,18111.46,0.0,0.7799,16544.82,0.0,21.08,0.6515,0.0075,0.0
4,failed_price,161.97,1008.26,1983042.73,1.23,1.19,1.14,13847.64,1.41,0.25,1.65,20011.19,0.17,2100.31,160.32,1963031.54,31235.76,17447.42,0.0,161.64,1992767.82,166063.98,0.9898,0.0021,0.9979,12099.18,18148.77,13847.64,0.78,16578.9,18974.73,21.08,0.7388,0.0076,0.0
5,failed_price,161.64,1010.34,1992767.82,1.22,1.22,1.19,14406.68,1.4,0.25,1.65,20011.35,0.19,2285.7,159.98,1972756.47,31228.75,17533.86,0.0,161.36,2003143.74,166928.65,0.9898,0.002,0.998,12124.1,18186.15,14406.68,0.78,16613.05,19740.76,21.08,0.7425,0.0075,0.0
6,failed_price,161.36,1012.42,2003143.74,2.78,1.23,1.22,14816.41,1.39,0.24,1.63,19804.05,0.2,2441.57,159.73,1983339.69,30952.0,17627.92,0.0,161.15,2013921.75,167826.81,0.9899,0.002,0.998,12149.07,18223.61,14816.41,0.7801,16647.27,20302.19,21.08,0.7446,0.0073,0.0
7,failed_price,161.15,1014.51,2013921.75,1.13,1.22,1.23,14967.45,1.38,0.24,1.62,19702.48,0.21,2574.92,159.53,1994219.27,30511.55,17724.62,0.0,160.97,2024548.57,168712.38,0.99,0.0022,0.9978,12174.1,18261.15,14967.45,0.7801,16681.56,20509.15,21.08,0.7434,0.007,0.0
8,failed_price,160.97,1016.6,2024548.57,1.08,2.78,1.22,14842.96,1.35,0.24,1.59,19373.39,0.22,2681.3,159.39,2005175.18,30065.6,17822.0,0.0,160.82,2034943.05,169578.59,0.9901,0.0022,0.9978,12199.18,18298.76,14842.96,0.7802,16715.92,20338.57,21.08,0.7418,0.0067,0.0
9,failed_price,160.82,1018.69,2034943.05,1.05,1.13,2.78,34019.9,1.33,0.24,1.57,19167.17,0.23,2772.0,159.26,2015775.88,29772.99,17916.22,0.0,162.26,2064424.55,172035.38,0.9903,0.0022,0.9978,12224.3,18336.46,34019.9,0.7803,16750.35,46615.76,21.07,0.8542,0.0065,0.0
10,failed_price,162.26,1020.79,2064424.55,1.05,1.08,1.13,13818.04,1.34,0.24,1.57,19254.37,0.23,2863.02,160.69,2045170.18,30039.46,18177.47,0.0,162.05,2073713.23,172809.44,0.9903,0.0022,0.9978,12249.48,18374.23,13818.04,0.7804,16784.86,18934.17,21.07,0.7344,0.0065,0.0
