Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,high_churn,166.67,1003.67,2000000.0,1.02,0.0,0.0,0.0,1.58,0.28,1.86,22378.32,0.0,0.0,164.81,1977621.68,28576.63,20883.68,0.0,164.81,1985314.63,165442.89,0.9889,0.0073,0.9927,12044.1,18066.15,0.0,0.7799,17722.89,0.0,22.64,0.5918,0.0061,0.0
2,high_churn,164.81,1007.36,1985314.63,1.06,0.0,0.0,0.0,1.59,0.28,1.88,22679.84,0.1,1259.48,162.93,1962634.79,28927.27,20725.42,0.0,163.04,1972096.12,164341.34,0.9886,0.0067,0.9933,12088.36,18132.54,0.0,0.7799,17788.02,0.0,22.64,0.6,0.0064,0.0
3,high_churn,163.04,1011.06,1972096.12,1.08,1.02,0.0,0.0,1.6,0.28,1.89,22875.48,0.16,1887.52,161.15,1949220.64,29141.95,20583.77,0.0,161.31,1959666.34,163305.53,0.9884,0.0063,0.9937,12132.78,18199.17,0.0,0.7798,17853.39,0.0,22.64,0.6042,0.0066,0.0
4,high_churn,161.31,1014.78,1959666.34,1.09,1.06,1.02,12380.55,1.6,0.28,1.88,22863.5,0.2,2410.4,159.43,1936802.84,29106.27,20452.64,0.0,160.64,1960247.43,163353.95,0.9884,0.006,0.994,12177.37,18266.05,12380.55,0.7798,17918.99,18217.97,22.64,0.6834,0.0068,0.0
5,high_churn,160.64,1018.51,1960247.43,1.08,1.08,1.06,12897.73,1.59,0.28,1.87,22862.54,0.21,2621.6,158.77,1937384.88,28964.99,20458.78,0.0,160.04,1961410.42,163450.87,0.9884,0.006,0.994,12222.12,18333.17,12897.73,0.7798,17984.84,18979.02,22.64,0.6869,0.0067,0.0
6,high_churn,160.04,1022.25,1961410.42,2.65,1.09,1.08,13282.09,1.57,0.28,1.85,22655.54,0.23,2800.2,158.2,1938754.88,28575.31,20473.25,0.0,159.51,1962939.23,163578.27,0.9885,0.006,0.994,12267.03,18400.54,13282.09,0.7798,18050.93,19544.6,22.64,0.6892,0.0066,0.0
7,high_churn,159.51,1026.01,1962939.23,1.01,1.08,1.09,13434.83,1.54,0.27,1.81,22329.67,0.24,2955.58,157.69,1940609.56,28041.81,20492.84,0.0,159.02,1964548.94,163712.41,0.9886,0.006,0.994,12312.11,18468.16,13434.83,0.7798,18117.27,19769.35,22.64,0.6897,0.0063,0.0
8,high_churn,159.02,1029.78,1964548.94,0.97,2.65,1.08,13338.44,1.51,0.27,1.78,22005.67,0.25,3067.4,157.24,1942543.28,27508.36,20513.26,0.0,158.57,1965944.22,163828.68,0.9888,0.0061,0.9939,12357.35,18536.03,13338.44,0.7798,18183.84,19627.51,22.64,0.6884,0.0061,0.0
9,high_churn,158.57,1033.56,1965944.22,0.94,1.01,2.65,32854.39,1.49,0.26,1.76,21805.79,0.26,3170.46,156.81,1944138.43,27119.64,20530.1,0.0,159.72,1986752.81,165562.73,0.9889,0.0061,0.9939,12402.76,18604.15,32854.39,0.7799,18250.67,48345.24,22.64,0.8069,0.0059,0.0
10,high_churn,159.72,1037.36,1986752.81,0.93,0.97,1.01,12545.97,1.51,0.27,1.78,22184.84,0.26,3275.25,157.94,1964567.98,27252.49,20745.84,0.0,159.21,1986895.85,165574.65,0.9888,0.0062,0.9938,12448.34,18672.51,12545.97,0.7799,18317.73,18461.4,22.64,0.6808,0.0058,0.0
11,high_churn,159.21,1041.17,1986895.85,0.94,0.94,0.97,12079.9,1.53,0.27,1.8,22441.46,0.27,3356.89,157.41,1964454.39,27403.03,20744.64,0.0,158.65,1986549.57,165545.8,0.9887,0.0063,0.9937,12494.09,18741.13,12079.9,0.7799,18385.05,17775.57,22.64,0.6778,0.0059,0.0
12,high_churn,158.65,1045.0,1986549.57,2.57,0.93,0.94,11746.56,1.55,0.27,1.82,22854.52,0.27,3447.02,156.82,1963695.05,27807.89,20736.62,0.0,158.04,1985959.89,165496.66,0.9885,0.0062,0.9938,12540.0,18810.0,11746.56,0.7799,18452.61,17285.06,22.64,0.6764,0.0061,0.0
13,high_churn,158.04,1048.84,1985959.89,1.01,0.94,0.93,11673.54,1.58,0.28,1.86,23388.48,0.28,3554.13,156.18,1962571.41,28359.16,20724.75,0.0,157.39,1985433.48,165452.79,0.9882,0.0061,0.9939,12586.08,18879.12,11673.54,0.7799,18520.42,17177.62,22.64,0.6767,0.0064,0.0
14,high_churn,157.39,1052.69,1985433.48,1.04,2.57,0.94,11844.19,1.61,0.28,1.89,23915.44,0.28,3599.19,155.49,1961518.04,28910.81,20713.63,0.0,156.72,1985158.59,165429.88,0.988,0.0061,0.9939,12632.33,18948.5,11844.19,0.7799,18588.48,17428.72,22.64,0.6783,0.0066,0.0
15,high_churn,156.72,1056.56,1985158.59,1.07,1.01,2.57,32537.57,1.63,0.29,1.92,24306.84,0.29,3652.03,154.8,1960851.75,29315.84,20706.59,0.0,157.65,2005650.59,167137.55,0.9878,0.0061,0.9939,12678.75,19018.13,32537.57,0.78,18656.79,47879.03,22.64,0.8039,0.0068,0.0
16,high_churn,157.65,1060.45,2005650.59,1.09,1.04,1.01,12797.09,1.66,0.29,1.95,24877.73,0.29,3703.15,155.7,1980772.86,29767.05,20916.96,0.0,157.0,2006123.19,167176.93,0.9876,0.0061,0.9939,12725.35,19088.02,12797.09,0.78,18725.35,18830.91,22.64,0.6829,0.0069,0.0
