Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,low_churn,166.67,1004.07,2000000.0,1.33,0.0,0.0,0.0,1.31,0.23,1.54,18604.39,0.0,0.0,165.12,1981395.61,35367.91,14908.02,0.0,165.12,2001855.5,166821.29,0.9907,-0.0009,1.0009,12048.89,18073.33,0.0,0.78,16266.0,0.0,20.77,0.6911,0.008,0.0
2,low_churn,165.12,1008.16,2001855.5,1.39,0.0,0.0,0.0,1.33,0.24,1.57,18978.07,0.09,1047.49,163.55,1982877.43,36102.25,14919.17,0.0,163.64,2005108.0,167092.33,0.9905,-0.0016,1.0016,12097.98,18146.97,0.0,0.78,16332.27,0.0,20.77,0.6995,0.0084,0.0
3,low_churn,163.64,1012.27,2005108.0,1.42,1.33,0.0,0.0,1.35,0.24,1.58,19238.32,0.13,1576.96,162.06,1985869.68,36675.72,14941.68,0.0,162.19,2009180.68,167431.72,0.9903,-0.002,1.002,12147.27,18220.9,0.0,0.78,16398.81,0.0,20.77,0.7044,0.0087,0.0
4,low_churn,162.19,1016.4,2009180.68,1.43,1.39,1.33,16272.74,1.34,0.24,1.58,19286.5,0.17,2021.03,160.61,1989894.18,36940.4,14971.96,0.0,162.11,2030156.38,169179.7,0.9903,-0.0023,1.0023,12196.76,18295.13,16272.74,0.7802,16465.62,21968.2,20.77,0.8054,0.0088,0.0
5,low_churn,162.11,1020.54,2030156.38,1.42,1.42,1.39,16965.14,1.34,0.24,1.58,19365.16,0.18,2205.59,160.52,2010791.22,37135.98,15129.19,0.0,162.09,2051968.74,170997.4,0.9902,-0.0024,1.0024,12246.45,18369.67,16965.14,0.7803,16532.7,22902.95,20.76,0.8092,0.0088,0.0
6,low_churn,162.09,1024.7,2051968.74,2.98,1.43,1.42,17484.31,1.33,0.23,1.56,19232.62,0.19,2363.73,160.53,2032736.12,37010.03,15294.31,0.0,162.14,2074299.88,172858.32,0.9904,-0.0024,1.0024,12296.34,18444.51,17484.31,0.7804,16600.06,23603.82,20.76,0.811,0.0085,0.0
7,low_churn,162.14,1028.87,2074299.88,1.33,1.42,1.43,17699.82,1.31,0.23,1.54,18974.28,0.2,2500.76,160.6,2055325.6,36687.56,15464.27,0.0,162.24,2096749.47,174729.12,0.9905,-0.0023,1.0023,12346.44,18519.66,17699.82,0.7805,16667.69,23894.76,20.76,0.8104,0.0082,0.0
8,low_churn,162.24,1033.06,2096749.47,1.27,2.98,1.42,17593.73,1.28,0.23,1.51,18711.85,0.21,2599.78,160.73,2078037.62,36351.11,15635.16,0.0,162.36,2118947.09,176578.92,0.9907,-0.0022,1.0022,12396.74,18595.11,17593.73,0.7806,16735.6,23751.54,20.75,0.8076,0.0079,0.0
9,low_churn,162.36,1037.27,2118947.09,1.24,1.33,2.98,37096.89,1.27,0.22,1.49,18571.8,0.22,2690.02,160.87,2100375.29,36192.95,15803.22,0.0,164.06,2160551.93,180045.99,0.9908,-0.0021,1.0021,12447.24,18670.87,37096.89,0.7808,16803.78,50080.8,20.75,0.9164,0.0076,0.0
10,low_churn,164.06,1041.5,2160551.93,1.22,1.27,1.33,16588.85,1.29,0.23,1.52,18951.97,0.22,2782.16,162.55,2141599.96,36698.46,16113.4,0.0,164.1,2181556.03,181796.34,0.9908,-0.002,1.002,12497.96,18746.93,16588.85,0.7809,16872.24,22394.95,20.75,0.7976,0.0075,0.0
11,low_churn,164.1,1045.74,2181556.03,1.24,1.24,1.27,15992.2,1.31,0.23,1.54,19284.76,0.23,2857.44,162.56,2162271.27,37259.52,16268.93,0.0,164.06,2202111.5,183509.29,0.9906,-0.0021,1.0021,12548.87,18823.31,15992.2,0.781,16940.98,21589.48,20.74,0.7941,0.0075,0.0
12,low_churn,164.06,1050.0,2202111.5,2.88,1.22,1.24,15569.93,1.33,0.24,1.57,19778.87,0.23,2943.99,162.49,2182332.64,38175.54,16419.87,0.0,163.96,2222602.23,185216.85,0.9904,-0.0022,1.0022,12600.0,18900.0,15569.93,0.7811,17010.0,21019.41,20.74,0.7928,0.0078,0.0
13,low_churn,163.96,1054.28,2222602.23,1.33,1.24,1.22,15485.29,1.37,0.24,1.61,20402.93,0.24,3048.72,162.35,2202199.3,39309.26,16569.35,0.0,163.81,2243473.23,186956.1,0.9902,-0.0024,1.0024,12651.33,18977.0,15485.29,0.7812,17079.3,20905.15,20.74,0.7939,0.0081,0.0
14,low_churn,163.81,1058.57,2243473.23,1.38,2.88,1.24,15730.13,1.41,0.25,1.66,21023.82,0.24,3105.7,162.16,2222449.41,40464.14,16721.71,0.0,163.64,2265027.67,188752.31,0.9899,-0.0026,1.0026,12702.88,19054.32,15730.13,0.7813,17148.88,21235.68,20.73,0.7966,0.0084,0.0
15,low_churn,163.64,1062.89,2265027.67,1.42,1.33,2.88,36697.89,1.43,0.25,1.69,21506.57,0.25,3171.16,161.95,2243521.09,41434.12,16880.25,0.0,165.08,2307944.0,192328.67,0.9897,-0.0027,1.0027,12754.63,19131.95,36697.89,0.7815,17218.75,49542.15,20.73,0.9089,0.0087,0.0
16,low_churn,165.08,1067.22,2307944.0,1.44,1.38,1.33,17036.39,1.47,0.26,1.73,22096.19,0.25,3235.21,163.36,2285847.81,42434.48,17198.72,0.0,164.94,2331355.18,194279.6,0.9895,-0.0028,1.0028,12806.59,19209.89,17036.39,0.7817,17288.9,22999.13,20.73,0.8034,0.0087,0.0
17,low_churn,164.94,1071.56,2331355.18,1.42,1.42,1.38,17786.96,1.45,0.26,1.71,21973.79,0.26,3306.24,163.23,2309381.38,42650.45,17375.79,0.0,164.87,2355749.24,196312.44,0.9896,-0.0028,1.0028,12858.77,19288.15,17786.96,0.7818,17359.34,24012.4,20.72,0.8073,0.0086,0.0
18,low_churn,164.87,1075.93,2355749.24,2.98,1.44,1.42,18358.54,1.43,0.25,1.68,21678.59,0.26,3341.51,163.19,2334070.65,42496.42,17561.55,0.0,164.87,2380705.58,198392.13,0.9898,-0.0028,1.0028,12911.16,19366.74,18358.54,0.7819,17430.06,24784.03,20.72,0.809,0.0084,0.0
19,low_churn,164.87,1080.31,2380705.58,1.33,1.42,1.44,18648.72,1.39,0.25,1.64,21248.87,0.26,3353.4,163.23,2359456.71,42116.3,17752.55,0.0,164.93,2405822.58,200485.21,0.9901,-0.0027,1.0027,12963.76,19445.64,18648.72,0.782,17501.08,25175.77,20.72,0.8086,0.0081,0.0
20,low_churn,164.93,1084.71,2405822.58,1.28,2.98,1.42,18535.96,1.36,0.24,1.6,20823.13,0.26,3340.41,163.33,2384999.45,41720.8,17944.74,0.0,165.01,2430651.88,202554.32,0.9903,-0.0026,1.0026,13016.58,19524.86,18535.96,0.7822,17572.38,25023.54,20.71,0.806,0.0078,0.0
