Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,recession,166.67,1003.27,2000000.0,0.83,0.0,0.0,0.0,1.61,0.28,1.89,22743.26,0.0,0.0,164.78,1977256.74,24201.62,23647.99,0.0,164.78,1977810.37,164817.53,0.9887,0.0111,0.9889,12039.28,18058.93,0.0,0.7799,17878.34,0.0,22.85,0.5468,0.005,0.0
2,recession,164.78,1006.56,1977810.37,0.86,0.0,0.0,0.0,1.62,0.29,1.91,23028.3,0.11,1279.5,162.87,1954782.07,24405.06,23379.19,0.0,162.98,1957087.45,163090.62,0.9884,0.0105,0.9895,12078.7,18118.05,0.0,0.7798,17936.87,0.0,22.85,0.5541,0.0052,0.0
3,recession,162.98,1009.85,1957087.45,0.88,0.83,0.0,0.0,1.63,0.29,1.92,23208.23,0.16,1916.09,161.06,1933879.21,24490.66,23129.2,0.0,161.22,1937156.76,161429.73,0.9882,0.0102,0.9898,12118.24,18177.36,0.0,0.7797,17995.59,0.0,22.86,0.5575,0.0054,0.0
4,recession,161.22,1013.16,1937156.76,0.89,0.86,0.83,10044.74,1.62,0.29,1.91,23181.2,0.2,2445.22,159.31,1913975.56,24364.14,22891.15,0.0,160.34,1927938.52,160661.54,0.9882,0.0099,0.9901,12157.91,18236.87,10044.74,0.7796,18054.5,14916.44,22.86,0.6225,0.0055,0.0
5,recession,160.34,1016.48,1927938.52,0.88,0.88,0.86,10459.81,1.61,0.28,1.9,23122.62,0.22,2657.69,158.44,1904815.9,24122.6,22781.6,0.0,159.52,1919274.4,159939.53,0.9882,0.0099,0.9901,12197.71,18296.57,10459.81,0.7796,18113.61,15532.81,22.86,0.6257,0.0055,0.0
6,recession,159.52,1019.8,1919274.4,1.97,0.89,0.88,10766.79,1.59,0.28,1.87,22859.15,0.23,2834.59,157.65,1896415.25,23676.37,22681.13,0.0,158.76,1911011.87,159250.99,0.9883,0.0099,0.9901,12237.65,18356.47,10766.79,0.7796,18172.91,15988.69,22.86,0.6279,0.0053,0.0
7,recession,158.76,1023.14,1911011.87,0.82,0.88,0.89,10885.79,1.56,0.27,1.83,22479.23,0.24,2986.87,156.93,1888532.64,23115.64,22586.85,0.0,158.06,1902934.09,158577.84,0.9885,0.0099,0.9901,12277.71,18416.56,10885.79,0.7795,18232.4,16165.4,22.86,0.6288,0.0052,0.0
8,recession,158.06,1026.49,1902934.09,0.78,1.97,0.88,10800.09,1.53,0.27,1.79,22103.75,0.25,3094.23,156.27,1880830.34,22560.94,22494.73,0.0,157.4,1894790.87,157899.24,0.9886,0.01,0.99,12317.9,18476.86,10800.09,0.7795,18292.09,16038.14,22.86,0.6281,0.005,0.0
9,recession,157.4,1029.85,1894790.87,0.76,0.82,1.97,24367.71,1.5,0.27,1.77,21853.74,0.26,3192.54,155.63,1872937.13,22130.61,22400.33,0.0,157.86,1900227.66,158352.31,0.9888,0.01,0.99,12358.23,18537.34,24367.71,0.7795,18351.97,36186.05,22.86,0.7139,0.0048,0.0
10,recession,157.86,1033.22,1900227.66,0.75,0.78,0.82,10143.52,1.51,0.27,1.78,22075.21,0.27,3292.33,156.08,1878152.45,22069.04,22462.7,0.0,157.16,1891194.64,157599.55,0.9887,0.0101,0.9899,12398.69,18598.03,10143.52,0.7795,18412.05,15063.12,22.86,0.6224,0.0048,0.0
