Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,saturation,166.67,1003.67,2000000.0,0.74,0.0,0.0,0.0,1.43,0.25,1.69,20296.1,0.0,0.0,164.98,1979703.9,27597.07,17944.04,0.0,164.98,1989356.94,165779.75,0.9899,0.0053,0.9947,12044.1,18066.15,0.0,0.7799,16828.62,0.0,21.5,0.6161,0.0044,0.0
2,saturation,164.98,1007.36,1989356.94,0.77,0.0,0.0,0.0,1.45,0.26,1.71,20634.88,0.09,1142.29,163.27,1968722.06,27992.87,17844.5,0.0,163.37,1980012.71,165001.06,0.9897,0.0047,0.9953,12088.36,18132.54,0.0,0.7799,16890.46,0.0,21.5,0.6235,0.0046,0.0
3,saturation,163.37,1011.06,1980012.71,0.79,0.74,0.0,0.0,1.46,0.26,1.72,20863.3,0.14,1715.57,161.65,1959149.42,28256.61,17757.73,0.0,161.79,1971363.87,164280.32,0.9895,0.0044,0.9956,12132.78,18199.17,0.0,0.7799,16952.53,0.0,21.5,0.6274,0.0048,0.0
4,saturation,161.79,1014.78,1971363.87,0.79,0.77,0.74,8975.9,1.46,0.26,1.71,20881.59,0.18,2194.45,160.08,1950482.28,28277.31,17679.17,0.0,160.99,1972250.77,164354.23,0.9894,0.0041,0.9959,12177.37,18266.05,8975.9,0.7799,17014.82,12541.57,21.5,0.6853,0.0049,0.0
5,saturation,160.99,1018.51,1972250.77,0.78,0.79,0.77,9352.65,1.45,0.26,1.7,20823.7,0.2,2390.5,159.29,1951427.06,28145.23,17687.73,0.0,160.25,1973627.71,164468.98,0.9894,0.004,0.996,12222.12,18333.17,9352.65,0.7799,17077.35,13067.99,21.5,0.6882,0.0049,0.0
6,saturation,160.25,1022.25,1973627.71,2.36,0.79,0.79,9633.4,1.42,0.25,1.68,20557.8,0.21,2551.8,158.57,1953069.91,27770.31,17702.63,0.0,159.57,1975322.8,164610.23,0.9895,0.004,0.996,12267.03,18400.54,9633.4,0.7799,17140.11,13460.26,21.5,0.6902,0.0047,0.0
7,saturation,159.57,1026.01,1975322.8,0.73,0.78,0.79,9746.45,1.39,0.25,1.64,20172.95,0.22,2688.38,157.93,1955149.85,27254.79,17721.48,0.0,158.94,1977117.99,164759.83,0.9897,0.004,0.996,12312.11,18468.16,9746.45,0.7799,17203.09,13618.23,21.5,0.6908,0.0046,0.0
8,saturation,158.94,1029.78,1977117.99,0.7,2.36,0.78,9674.96,1.36,0.24,1.6,19791.43,0.23,2782.49,157.34,1957326.56,26739.43,17741.21,0.0,158.35,1978782.23,164898.52,0.9899,0.0041,0.9959,12357.35,18536.03,9674.96,0.7799,17266.31,13518.34,21.5,0.69,0.0044,0.0
9,saturation,158.35,1033.56,1978782.23,0.68,0.73,2.36,29279.39,1.34,0.24,1.58,19536.02,0.23,2867.29,156.77,1959246.2,26365.78,17758.61,0.0,159.36,2000000.06,166666.67,0.9901,0.0041,0.9959,12402.76,18604.15,29279.39,0.78,17329.76,40910.63,21.5,0.8087,0.0043,0.0
10,saturation,159.36,1037.36,2000000.06,0.67,0.7,0.73,9096.62,1.35,0.24,1.59,19826.16,0.24,2953.52,157.77,1980173.9,26499.48,17948.3,0.0,158.74,2000775.23,166731.27,0.99,0.0042,0.9958,12448.34,18672.51,9096.62,0.78,17393.44,12710.26,21.5,0.6847,0.0042,0.0
11,saturation,158.74,1041.17,2000775.23,0.68,0.68,0.7,8756.82,1.36,0.24,1.6,20031.85,0.24,3019.59,157.13,1980743.39,26655.07,17953.46,0.0,158.08,2001221.41,166768.45,0.9899,0.0042,0.9958,12494.09,18741.13,8756.82,0.78,17457.36,12235.47,21.5,0.6827,0.0043,0.0
12,saturation,158.08,1045.0,2001221.41,2.3,0.67,0.68,8513.36,1.38,0.24,1.63,20415.2,0.25,3094.99,156.45,1980806.21,27060.19,17954.03,0.0,157.37,2001520.71,166793.39,0.9897,0.0041,0.9959,12540.0,18810.0,8513.36,0.78,17521.52,11895.29,21.5,0.6818,0.0044,0.0
13,saturation,157.37,1048.84,2001520.71,0.73,0.68,0.67,8458.99,1.41,0.25,1.66,20920.57,0.25,3188.45,155.71,1980600.15,27609.57,17952.16,0.0,156.64,2001904.99,166825.42,0.9894,0.004,0.996,12586.08,18879.12,8458.99,0.78,17585.9,11819.32,21.5,0.6823,0.0046,0.0
14,saturation,156.64,1052.69,2001904.99,0.76,2.3,0.68,8581.09,1.44,0.25,1.7,21419.88,0.26,3227.61,154.94,1980485.11,28160.12,17951.12,0.0,155.88,2002502.81,166875.23,0.9892,0.004,0.996,12632.33,18948.5,8581.09,0.78,17650.53,11989.93,21.5,0.6836,0.0048,0.0
15,saturation,155.88,1056.56,2002502.81,0.78,0.73,2.3,29160.74,1.46,0.26,1.72,21784.89,0.26,3274.89,154.16,1980717.92,28567.69,17953.23,0.0,156.72,2023768.01,168647.33,0.989,0.0039,0.9961,12678.75,19018.13,29160.74,0.7801,17715.39,40744.84,21.49,0.8076,0.005,0.0
16,saturation,156.72,1060.45,2023768.01,0.79,0.76,0.73,9268.36,1.49,0.26,1.75,22294.34,0.26,3320.53,154.97,2001473.67,29016.56,18141.36,0.0,155.95,2024937.77,168744.81,0.9888,0.004,0.996,12725.35,19088.02,9268.36,0.7801,17780.49,12950.22,21.49,0.6871,0.005,0.0
17,saturation,155.95,1064.34,2024937.77,0.78,0.78,0.76,9663.12,1.47,0.26,1.73,22071.55,0.26,3374.97,154.23,2002866.21,28887.13,18153.98,0.0,155.25,2026637.46,168886.45,0.9889,0.0039,0.9961,12772.11,19158.17,9663.12,0.7801,17845.83,13501.8,21.49,0.6902,0.005,0.0
18,saturation,155.25,1068.25,2026637.46,2.35,0.79,0.78,9959.22,1.44,0.25,1.69,21710.43,0.26,3393.67,153.55,2004927.03,28507.66,18172.66,0.0,154.6,2028614.92,169051.24,0.9891,0.0039,0.9961,12819.05,19228.57,9959.22,0.7801,17911.41,13915.52,21.49,0.6919,0.0049,0.0
19,saturation,154.6,1072.18,2028614.92,0.72,0.78,0.79,10109.97,1.4,0.25,1.65,21226.18,0.26,3391.28,152.95,2007388.74,27983.0,18194.97,0.0,154.0,2030678.02,169223.17,0.9893,0.004,0.996,12866.15,19299.23,10109.97,0.7802,17977.23,14126.15,21.49,0.6924,0.0047,0.0
20,saturation,154.0,1076.12,2030678.02,0.7,2.35,0.78,10033.85,1.37,0.24,1.61,20748.85,0.26,3365.44,152.39,2009929.17,27458.04,18218.0,0.0,153.43,2032568.5,169380.71,0.9896,0.004,0.996,12913.43,19370.15,10033.85,0.7802,18043.29,14019.79,21.49,0.6913,0.0045,0.0
21,saturation,153.43,1080.07,2032568.5,0.67,0.72,2.35,30520.66,1.34,0.24,1.57,20405.91,0.26,3330.79,151.85,2012162.58,27077.88,18238.24,0.0,154.46,2054853.67,171237.81,0.9897,0.0041,0.9959,12960.89,19441.33,30520.66,0.7803,18109.6,42644.99,21.49,0.8118,0.0044,0.0
22,saturation,154.46,1084.04,2054853.67,0.67,0.7,0.72,9430.87,1.35,0.24,1.59,20636.75,0.25,3297.33,152.88,2034216.92,27222.7,18438.14,0.0,153.86,2055729.68,171310.81,0.9897,0.0042,0.9958,13008.52,19512.78,9430.87,0.7803,18176.15,13177.29,21.49,0.6854,0.0043,0.0
23,saturation,153.86,1088.03,2055729.68,0.67,0.67,0.7,9077.24,1.34,0.24,1.58,20650.52,0.25,3293.23,152.27,2035079.17,27386.27,18445.96,0.0,153.22,2056389.96,171365.83,0.9897,0.0041,0.9959,13056.32,19584.48,9077.24,0.7803,18242.94,12683.18,21.49,0.6841,0.0044,0.0
24,saturation,153.22,1092.03,2056389.96,2.29,0.67,0.67,8823.62,1.36,0.24,1.6,21017.46,0.25,3290.43,151.62,2035372.49,27805.63,18448.62,0.0,152.54,2056843.55,171403.63,0.9895,0.0041,0.9959,13104.3,19656.45,8823.62,0.7803,18309.98,12328.8,21.49,0.6829,0.0045,0.0
