Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,slippage,166.67,1004.07,2000000.0,0.95,0.0,0.0,0.0,1.41,0.25,1.65,19929.97,0.0,0.0,165.01,1980070.03,33661.19,16157.37,0.0,165.01,1997573.85,166464.49,0.9901,0.0012,0.9988,12048.89,18073.33,0.0,0.78,16672.65,0.0,21.29,0.6654,0.0057,0.0
2,slippage,165.01,1008.16,1997573.85,0.99,0.0,0.0,0.0,1.43,0.25,1.68,20283.2,0.09,1122.13,163.34,1977290.65,34286.22,16134.69,0.0,163.43,1996564.31,166380.36,0.9898,0.0005,0.9995,12097.98,18146.97,0.0,0.78,16740.58,0.0,21.29,0.6739,0.006,0.0
3,slippage,163.43,1012.27,1996564.31,1.02,0.95,0.0,0.0,1.44,0.25,1.69,20525.45,0.14,1686.67,161.74,1976038.85,34756.34,16124.48,0.0,161.88,1996357.39,166363.12,0.9897,0.0001,0.9999,12147.27,18220.9,0.0,0.78,16808.78,0.0,21.29,0.6787,0.0062,0.0
4,slippage,161.88,1016.4,1996357.39,1.02,0.99,0.95,11623.39,1.43,0.25,1.69,20557.03,0.18,2159.03,160.19,1975800.36,34932.15,16122.53,0.0,161.32,2008392.4,167366.03,0.9896,-0.0002,1.0002,12196.76,18295.13,11623.39,0.78,16877.26,16083.86,21.29,0.7524,0.0063,0.0
5,slippage,161.32,1020.54,2008392.4,1.01,1.02,0.99,12116.5,1.43,0.25,1.68,20556.07,0.19,2353.56,159.64,1987836.33,34963.85,16220.74,0.0,160.83,2021049.49,168420.79,0.9896,-0.0003,1.0003,12246.45,18369.67,12116.5,0.7801,16946.02,16766.2,21.29,0.7557,0.0063,0.0
6,slippage,160.83,1024.7,2021049.49,1.94,1.02,1.02,12485.64,1.41,0.25,1.65,20345.89,0.2,2516.38,159.17,2000703.6,34692.2,16325.74,0.0,160.39,2034072.08,169506.01,0.9897,-0.0003,1.0003,12296.34,18444.51,12485.64,0.7802,17015.06,17277.01,21.28,0.7575,0.0061,0.0
7,slippage,160.39,1028.87,2034072.08,0.95,1.01,1.02,12637.72,1.38,0.24,1.62,20014.21,0.22,2655.86,158.77,2014057.87,34238.98,16434.71,0.0,160.01,2047155.71,170596.31,0.9899,-0.0002,1.0002,12346.44,18519.66,12637.72,0.7802,17084.38,17487.44,21.28,0.7574,0.0059,0.0
8,slippage,160.01,1033.06,2047155.71,0.91,1.94,1.01,12554.13,1.35,0.24,1.59,19683.12,0.22,2754.25,158.42,2027472.59,33777.69,16544.18,0.0,159.66,2060014.49,171667.87,0.9901,-0.0001,1.0001,12396.74,18595.11,12554.13,0.7803,17153.99,17371.77,21.28,0.7557,0.0057,0.0
9,slippage,159.66,1037.27,2060014.49,0.88,0.95,1.94,24201.25,1.33,0.23,1.56,19476.8,0.23,2843.61,158.09,2040537.68,33487.47,16650.79,0.0,160.26,2084419.23,173701.6,0.9902,-0.0001,1.0001,12447.24,18670.87,24201.25,0.7804,17223.87,33488.48,21.28,0.8226,0.0055,0.0
10,slippage,160.26,1041.5,2084419.23,0.87,0.91,0.95,11821.61,1.34,0.24,1.57,19681.32,0.23,2934.63,158.69,2064737.91,33696.52,16848.26,0.0,159.87,2096342.41,174695.2,0.9902,-0.0,1.0,12497.96,18746.93,11821.61,0.7805,17294.05,16358.15,21.28,0.7491,0.0054,0.0
11,slippage,159.87,1045.74,2096342.41,0.88,0.88,0.91,11388.88,1.35,0.24,1.59,19941.26,0.24,2998.95,158.28,2076401.15,34076.03,16943.43,0.0,159.43,2107921.59,175660.13,0.9901,-0.0001,1.0001,12548.87,18823.31,11388.88,0.7805,17364.5,15759.37,21.27,0.7468,0.0055,0.0
12,slippage,159.43,1050.0,2107921.59,1.87,0.87,0.88,11080.92,1.37,0.24,1.62,20370.22,0.24,3077.05,157.81,2087551.37,34778.61,17034.42,0.0,158.93,2119453.53,176621.13,0.9899,-0.0002,1.0002,12600.0,18900.0,11080.92,0.7806,17435.25,15333.23,21.27,0.7462,0.0057,0.0
13,slippage,158.93,1054.28,2119453.53,0.94,0.88,0.87,11007.4,1.41,0.25,1.65,20923.35,0.25,3173.8,157.28,2098530.19,35675.01,17124.01,0.0,158.4,2131262.39,177605.2,0.9896,-0.0004,1.0004,12651.33,18977.0,11007.4,0.7807,17506.28,15231.49,21.27,0.7475,0.0059,0.0
14,slippage,158.4,1058.57,2131262.39,0.98,1.87,0.88,11174.81,1.44,0.25,1.69,21471.32,0.25,3219.23,156.71,2109791.07,36583.78,17215.9,0.0,157.84,2143552.99,178629.42,0.9893,-0.0005,1.0005,12702.88,19054.32,11174.81,0.7807,17577.61,15463.14,21.27,0.7499,0.0062,0.0
15,slippage,157.84,1062.89,2143552.99,1.01,0.94,1.87,23810.45,1.46,0.26,1.72,21884.27,0.26,3273.01,156.13,2121668.73,37317.81,17312.82,0.0,158.25,2168757.19,180729.77,0.9891,-0.0007,1.0007,12754.63,19131.95,23810.45,0.7808,17649.22,32947.71,21.27,0.8219,0.0064,0.0
16,slippage,158.25,1067.22,2168757.19,1.02,0.98,0.94,12088.29,1.48,0.26,1.74,22287.68,0.26,3325.3,156.51,2146469.5,37949.58,17515.19,0.0,157.71,2182317.48,181859.79,0.989,-0.0007,1.0007,12806.59,19209.89,12088.29,0.7809,17721.12,16727.17,21.26,0.7559,0.0064,0.0
17,slippage,157.71,1071.56,2182317.48,1.01,1.01,0.98,12612.99,1.46,0.26,1.72,22148.38,0.26,3378.02,155.99,2160169.1,37994.99,17626.98,0.0,157.24,2196528.12,183044.01,0.9891,-0.0007,1.0007,12858.77,19288.15,12612.99,0.781,17793.32,17453.22,21.26,0.7591,0.0064,0.0
18,slippage,157.24,1075.93,2196528.12,1.94,1.02,1.01,13009.86,1.44,0.25,1.69,21821.51,0.26,3401.41,155.55,2174706.61,37709.41,17745.61,0.0,156.82,2211081.68,184256.81,0.9893,-0.0007,1.0007,12911.16,19366.74,13009.86,0.7811,17865.81,18002.4,21.26,0.7606,0.0062,0.0
19,slippage,156.82,1080.31,2211081.68,0.94,1.01,1.02,13202.05,1.4,0.25,1.65,21368.37,0.26,3402.61,155.17,2189713.31,37225.13,17868.06,0.0,156.45,2225675.03,185472.92,0.9895,-0.0006,1.0006,12963.76,19445.64,13202.05,0.7811,17938.6,18268.34,21.26,0.7603,0.006,0.0
20,slippage,156.45,1084.71,2225675.03,0.9,1.94,1.01,13113.46,1.37,0.24,1.61,20920.71,0.26,3382.04,154.84,2204754.32,36731.21,17990.8,0.0,156.11,2239990.23,186665.85,0.9897,-0.0005,1.0005,13016.58,19524.86,13113.46,0.7812,18011.69,18145.75,21.26,0.7584,0.0058,0.0
21,slippage,156.11,1089.13,2239990.23,0.87,0.94,1.94,25343.51,1.34,0.24,1.58,20609.02,0.26,3351.87,154.53,2219381.21,36422.49,18110.15,0.0,156.73,2266388.94,188865.74,0.9899,-0.0005,1.0005,13069.61,19604.41,25343.51,0.7813,18085.07,35069.09,21.25,0.8228,0.0056,0.0
22,slippage,156.73,1093.57,2266388.94,0.87,0.9,0.94,12346.37,1.34,0.24,1.58,20734.77,0.25,3322.77,155.15,2245654.17,36649.08,18324.54,0.0,156.34,2279647.84,189970.65,0.9899,-0.0004,1.0004,13122.85,19684.28,12346.37,0.7814,18158.75,17084.29,21.25,0.7516,0.0055,0.0
23,slippage,156.34,1098.03,2279647.84,0.87,0.87,0.9,11893.71,1.34,0.24,1.58,20843.34,0.25,3315.87,154.76,2258804.5,37069.47,18431.84,0.0,155.91,2292651.7,191054.31,0.9899,-0.0005,1.0005,13176.32,19764.48,11893.71,0.7815,18232.73,16457.92,21.25,0.7499,0.0056,0.0
24,slippage,155.91,1102.5,2292651.7,1.86,0.87,0.87,11571.43,1.37,0.24,1.61,21258.05,0.25,3317.63,154.31,2271393.65,37841.42,18534.57,0.0,155.43,2305589.55,192132.46,0.9897,-0.0006,1.0006,13230.0,19845.0,11571.43,0.7815,18307.01,16011.96,21.25,0.7492,0.0058,0.0
