Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,stress,166.67,1002.47,2000000.0,0.57,0.0,0.0,0.0,1.79,0.32,2.11,25362.71,0.0,0.0,164.56,1974637.29,20141.3,28892.89,0.0,164.56,1965885.7,163823.81,0.9873,0.0171,0.9829,12029.6,18044.39,0.0,0.7798,19000.75,0.0,24.31,0.4751,0.0034,0.0
2,stress,164.56,1004.94,1965885.7,0.59,0.0,0.0,0.0,1.8,0.32,2.12,25571.46,0.12,1425.72,162.44,1940314.24,20187.03,28390.68,0.0,162.56,1933536.32,161128.03,0.9871,0.0165,0.9835,12059.26,18088.9,0.0,0.7797,19047.61,0.0,24.31,0.4822,0.0036,0.0
3,stress,162.56,1007.42,1933536.32,0.61,0.57,0.0,0.0,1.81,0.32,2.12,25681.77,0.18,2128.36,160.43,1907854.54,20134.23,27915.73,0.0,160.61,1902201.41,158516.78,0.9869,0.0162,0.9838,12089.0,18133.51,0.0,0.7795,19094.58,0.0,24.32,0.485,0.0037,0.0
4,stress,160.61,1009.9,1902201.41,0.61,0.59,0.57,6933.93,1.79,0.32,2.11,25589.3,0.22,2708.99,158.5,1876612.11,19907.1,27458.59,0.0,159.29,1878703.54,156558.63,0.9869,0.016,0.984,12118.82,18178.23,6933.93,0.7794,19141.68,10952.14,24.32,0.5312,0.0038,0.0
5,stress,159.29,1012.39,1878703.54,0.61,0.61,0.59,7212.87,1.78,0.31,2.09,25422.82,0.24,2936.77,157.2,1853280.72,19558.3,27117.2,0.0,158.03,1855871.45,154655.95,0.9869,0.016,0.984,12148.71,18223.06,7212.87,0.7793,19188.88,11392.73,24.32,0.5334,0.0038,0.0
6,stress,158.03,1014.89,1855871.45,1.31,0.61,0.61,7416.54,1.75,0.31,2.06,25056.03,0.26,3122.86,155.98,1830815.42,19047.8,26788.49,167028.43,156.84,1666585.71,138882.14,0.987,0.106,0.894,12178.67,18268.0,7416.54,0.7783,19236.21,11714.42,24.35,-0.5456,0.0037,0.0
7,stress,156.84,1017.39,1666585.71,0.56,0.61,0.61,7490.17,1.73,0.3,2.03,24798.75,0.27,3281.91,154.81,1641786.95,16746.23,24022.63,0.0,155.69,1645282.64,137106.89,0.987,0.0173,0.9827,12208.71,18313.06,7490.17,0.7782,19283.65,11830.73,24.36,0.5248,0.0036,0.0
8,stress,155.69,1019.9,1645282.64,0.54,1.31,0.61,7420.3,1.69,0.3,1.99,24328.65,0.28,3403.88,153.71,1620953.99,16203.06,23717.8,0.0,154.59,1624263.43,135355.29,0.9872,0.0173,0.9827,12238.82,18358.22,7420.3,0.7781,19331.21,11720.37,24.36,0.5248,0.0034,0.0
9,stress,154.59,1022.42,1624263.43,0.52,0.56,1.31,16054.99,1.66,0.29,1.96,23986.78,0.29,3509.93,152.64,1600276.65,15757.38,23415.25,0.0,154.23,1612183.71,134348.64,0.9874,0.0173,0.9827,12269.0,18403.5,16054.99,0.7781,19378.89,25358.86,24.36,0.5888,0.0034,0.0
10,stress,154.23,1024.94,1612183.71,0.52,0.54,0.56,6892.03,1.65,0.29,1.94,23819.87,0.29,3615.94,152.29,1588363.84,15553.26,23240.94,0.0,153.15,1591184.12,132598.68,0.9874,0.0173,0.9827,12299.26,18448.89,6892.03,0.778,19426.68,10885.96,24.36,0.5216,0.0034,0.0
11,stress,153.15,1027.47,1591184.12,0.52,0.52,0.54,6620.13,1.65,0.29,1.94,23924.88,0.3,3665.37,151.21,1567259.24,15432.27,22932.14,0.0,152.04,1570044.88,130837.07,0.9873,0.0174,0.9826,12329.59,18494.39,6620.13,0.7779,19474.59,10456.5,24.37,0.5184,0.0034,0.0
12,stress,152.04,1030.0,1570044.88,1.26,0.52,0.52,6421.85,1.66,0.29,1.96,24195.24,0.3,3733.58,150.08,1545849.64,15452.31,22618.87,0.0,150.91,1548838.51,129069.88,0.9871,0.0176,0.9824,12360.0,18540.0,6421.85,0.7777,19522.62,10143.3,24.37,0.5157,0.0035,0.0
13,stress,150.91,1032.54,1548838.51,0.56,0.52,0.52,6410.84,1.69,0.3,1.98,24576.77,0.31,3820.16,148.92,1524261.74,15547.47,22303.0,0.0,149.75,1527737.21,127311.43,0.9869,0.0178,0.9822,12390.48,18585.72,6410.84,0.7776,19570.77,10125.92,24.37,0.5142,0.0037,0.0
14,stress,149.75,1035.09,1527737.21,0.58,1.26,0.52,6488.79,1.71,0.3,2.01,24949.25,0.31,3839.96,147.74,1502787.96,15635.01,21988.79,0.0,148.57,1506762.92,125563.58,0.9866,0.018,0.982,12421.04,18631.56,6488.79,0.7775,19619.03,10249.04,24.38,0.5128,0.0039,0.0
15,stress,148.57,1037.64,1506762.92,0.59,0.56,1.26,15660.69,1.72,0.3,2.02,25191.7,0.31,3867.66,146.55,1481571.21,15635.52,21678.35,0.0,148.12,1495056.74,124588.06,0.9864,0.0182,0.9818,12451.68,18677.51,15660.69,0.7775,19667.42,24736.07,24.38,0.5842,0.004,0.0
16,stress,148.12,1040.2,1495056.74,0.6,0.58,0.56,6976.16,1.73,0.31,2.04,25421.56,0.31,3893.69,146.08,1469635.18,15589.89,21503.7,0.0,146.95,1474591.22,122882.6,0.9862,0.0184,0.9816,12482.38,18723.58,6976.16,0.7774,19715.93,11018.84,24.38,0.5131,0.0041,0.0
17,stress,146.95,1042.76,1474591.22,0.59,0.59,0.58,7256.03,1.71,0.3,2.01,25153.07,0.31,3919.48,144.94,1449438.15,15296.41,21208.18,0.0,145.83,1454701.89,121225.16,0.9863,0.0184,0.9816,12513.17,18769.75,7256.03,0.7773,19764.55,11460.89,24.39,0.5154,0.004,0.0
18,stress,145.83,1045.34,1454701.89,1.29,0.6,0.59,7460.2,1.68,0.3,1.97,24721.69,0.31,3918.32,143.86,1429980.2,14877.51,20923.47,0.0,144.77,1435312.77,119609.4,0.9865,0.0185,0.9815,12544.03,18816.04,7460.2,0.7772,19813.3,11783.39,24.39,0.5172,0.0039,0.0
19,stress,144.77,1047.91,1435312.77,0.55,0.59,0.6,7546.14,1.63,0.29,1.92,24181.87,0.31,3897.38,142.85,1411130.9,14393.54,20647.67,0.0,143.76,1416320.29,118026.69,0.9867,0.0185,0.9815,12574.97,18862.45,7546.14,0.7771,19862.16,11919.13,24.39,0.5183,0.0038,0.0
20,stress,143.76,1050.5,1416320.29,0.53,1.29,0.59,7470.37,1.59,0.28,1.88,23652.96,0.31,3857.05,141.88,1392667.33,13921.1,20377.51,0.0,142.78,1397538.34,116461.53,0.9869,0.0185,0.9815,12605.98,18908.97,7470.37,0.777,19911.15,11799.45,24.39,0.5179,0.0037,0.0
21,stress,142.78,1053.09,1397538.34,0.51,0.55,1.29,16363.79,1.56,0.28,1.84,23249.73,0.3,3808.72,140.94,1374288.62,13532.16,20108.59,0.0,142.54,1387884.69,115657.06,0.9871,0.0186,0.9814,12637.07,18955.6,16363.79,0.7769,19960.25,25846.6,24.4,0.594,0.0036,0.0
22,stress,142.54,1055.69,1387884.69,0.5,0.53,0.55,6985.3,1.56,0.28,1.83,23245.89,0.3,3761.82,140.7,1364638.8,13362.54,19967.39,0.0,141.55,1368781.07,114065.09,0.9871,0.0188,0.9812,12668.24,19002.35,6985.3,0.7768,20009.48,11033.29,24.4,0.5117,0.0035,0.0
23,stress,141.55,1058.29,1368781.07,0.51,0.51,0.53,6705.86,1.55,0.27,1.83,23212.64,0.29,3736.14,139.72,1345568.42,13249.36,19688.36,0.0,140.54,1349571.42,112464.29,0.9871,0.0189,0.9811,12699.48,19049.22,6705.86,0.7767,20058.83,10591.91,24.4,0.5083,0.0036,0.0
