Month,Scenario,Beginning Customers,ARPA Monthly,Beginning ARR,Generated Pipeline Customers,Closed Won Customers,Recognized New Logo Customers,New Logo ARR,Voluntary Churn Customers,Involuntary Churn Customers,Gross Logo Churn Customers,Churned ARR,Reactivated Customers,Reactivated ARR,Renewals,Retained ARR After Churn,Gross Expansion ARR,Contraction ARR,Top Customer Shock ARR,Ending Customers,Ending ARR,Ending MRR,Retention Rate,Net Revenue Churn Rate,NRR,ACV,TCV,Subscription Bookings,Gross Margin,CAC per New Customer,Total CAC Spend,CAC Payback Months,Rule of 40 Proxy,Acquisition Rate,Bridge Check
1,top_customer_loss,166.67,1004.07,2000000.0,1.17,0.0,0.0,0.0,1.43,0.25,1.69,20308.71,0.0,0.0,164.98,1979691.29,30289.28,16629.41,0.0,164.98,1993351.16,166112.6,0.9899,0.0033,0.9967,12048.89,18073.33,0.0,0.78,16835.31,0.0,21.5,0.6401,0.007,0.0
2,top_customer_loss,164.98,1008.16,1993351.16,1.21,0.0,0.0,0.0,1.45,0.26,1.71,20655.77,0.09,1143.45,163.27,1972695.39,30785.88,16570.64,0.0,163.37,1988054.09,165671.17,0.9897,0.0027,0.9973,12097.98,18146.97,0.0,0.7799,16903.9,0.0,21.5,0.6481,0.0074,0.0
3,top_customer_loss,163.37,1012.27,1988054.09,1.25,1.17,0.0,0.0,1.46,0.26,1.72,20892.6,0.14,1718.0,161.65,1967161.48,31140.18,16524.16,0.0,161.79,1983495.5,165291.29,0.9895,0.0023,0.9977,12147.27,18220.9,0.0,0.7799,16972.77,0.0,21.5,0.6524,0.0076,0.0
4,top_customer_loss,161.79,1016.4,1983495.5,1.26,1.21,1.17,14258.02,1.46,0.26,1.72,20919.18,0.18,2198.42,160.07,1962576.33,31228.51,16485.64,0.0,161.42,1993775.64,166147.97,0.9894,0.002,0.998,12196.76,18295.13,14258.02,0.78,17041.92,19922.02,21.5,0.7422,0.0078,0.0
5,top_customer_loss,161.42,1020.54,1993775.64,1.24,1.25,1.21,14862.39,1.46,0.26,1.71,20965.58,0.2,2395.76,159.71,1972810.06,31229.6,16571.6,0.0,161.12,2004726.21,167060.52,0.9894,0.002,0.998,12246.45,18369.67,14862.39,0.78,17111.35,20766.47,21.5,0.7459,0.0077,0.0
6,top_customer_loss,161.12,1024.7,2004726.21,2.81,1.26,1.25,15314.61,1.44,0.25,1.69,20802.94,0.21,2563.85,159.43,1983923.27,30961.11,16664.96,180425.36,160.88,1835672.52,152972.71,0.9895,0.092,0.908,12296.34,18444.51,15314.61,0.7792,17181.06,21398.34,21.52,-0.3328,0.0075,0.0
7,top_customer_loss,160.88,1028.87,1835672.52,1.16,1.24,1.26,15500.5,1.41,0.25,1.66,20517.57,0.22,2709.86,159.22,1815154.95,27771.87,15247.3,0.0,160.7,1845889.88,153824.16,0.9897,0.0029,0.9971,12346.44,18519.66,15500.5,0.7792,17251.06,21658.07,21.52,0.746,0.0072,0.0
8,top_customer_loss,160.7,1033.06,1845889.88,1.11,2.81,1.24,15401.8,1.39,0.24,1.63,20230.87,0.23,2815.34,159.06,1825659.01,27373.93,15335.54,0.0,160.53,1855914.54,154659.55,0.9898,0.0029,0.9971,12396.74,18595.11,15401.8,0.7793,17321.34,21520.17,21.52,0.7444,0.0069,0.0
9,top_customer_loss,160.53,1037.27,1855914.54,1.08,1.16,2.81,34950.58,1.37,0.24,1.61,20067.49,0.23,2912.08,158.92,1835847.05,27115.45,15421.12,0.0,161.96,1885404.05,157117.0,0.99,0.0029,0.9971,12447.24,18670.87,34950.58,0.7794,17391.91,48834.7,21.51,0.8701,0.0067,0.0
10,top_customer_loss,161.96,1041.5,1885404.05,1.07,1.11,1.16,14510.97,1.39,0.25,1.64,20451.61,0.24,3010.69,160.33,1864952.44,27392.42,15665.6,0.0,161.73,1894200.92,157850.08,0.9899,0.003,0.997,12497.96,18746.93,14510.97,0.7795,17462.77,20275.45,21.51,0.7355,0.0066,0.0
11,top_customer_loss,161.73,1045.74,1894200.92,1.08,1.08,1.11,13983.72,1.41,0.25,1.65,20754.15,0.25,3089.6,160.08,1873446.77,27670.79,15736.95,0.0,161.44,1902453.93,158537.83,0.9898,0.003,0.997,12548.87,18823.31,13983.72,0.7795,17533.91,19538.76,21.51,0.7318,0.0067,0.0
12,top_customer_loss,161.44,1050.0,1902453.93,2.72,1.07,1.08,13609.39,1.43,0.25,1.68,21216.2,0.25,3178.54,159.75,1881237.74,28207.28,15802.4,0.0,161.08,1910430.55,159202.55,0.9896,0.003,0.997,12600.0,18900.0,13609.39,0.7796,17605.35,19015.72,21.51,0.7299,0.0069,0.0
13,top_customer_loss,161.08,1054.28,1910430.55,1.16,1.08,1.07,13533.25,1.46,0.26,1.72,21804.22,0.26,3285.19,159.36,1888626.33,28895.98,15864.46,0.0,160.69,1918476.29,159873.02,0.9893,0.0029,0.9971,12651.33,18977.0,13533.25,0.7796,17677.08,18909.33,21.51,0.7301,0.0072,0.0
14,top_customer_loss,160.69,1058.57,1918476.29,1.21,2.72,1.08,13742.51,1.5,0.26,1.76,22387.36,0.26,3337.49,158.93,1896088.92,29590.36,15927.15,0.0,160.27,1926832.14,160569.34,0.989,0.0028,0.9972,12702.88,19054.32,13742.51,0.7796,17749.09,19201.72,21.51,0.7319,0.0075,0.0
15,top_customer_loss,160.27,1062.89,1926832.14,1.24,1.16,2.72,34634.55,1.52,0.27,1.79,22833.49,0.27,3397.96,158.48,1903998.64,30140.31,15993.59,0.0,161.46,1956177.88,163014.82,0.9888,0.0027,0.9973,12754.63,19131.95,34634.55,0.7798,17821.41,48393.13,21.5,0.8625,0.0077,0.0
16,top_customer_loss,161.46,1067.22,1956177.88,1.25,1.21,1.16,14873.35,1.55,0.27,1.83,23420.24,0.27,3456.89,159.64,1932757.64,30754.04,16235.16,0.0,161.07,1965606.76,163800.56,0.9887,0.0028,0.9972,12806.59,19209.89,14873.35,0.7798,17894.01,20781.79,21.5,0.7377,0.0078,0.0
17,top_customer_loss,161.07,1071.56,1965606.76,1.24,1.24,1.21,15523.01,1.54,0.27,1.81,23263.22,0.27,3524.56,159.26,1942343.55,30747.31,16315.69,0.0,160.74,1975822.75,164651.9,0.9888,0.0027,0.9973,12858.77,19288.15,15523.01,0.7799,17966.92,21689.53,21.5,0.7422,0.0077,0.0
18,top_customer_loss,160.74,1075.93,1975822.75,2.81,1.25,1.24,16015.85,1.51,0.27,1.78,22949.23,0.28,3555.57,158.96,1952873.52,30476.54,16404.14,0.0,160.48,1986517.34,165543.11,0.9889,0.0027,0.9973,12911.16,19366.74,16015.85,0.7799,18040.12,22378.15,21.5,0.7449,0.0075,0.0
19,top_customer_loss,160.48,1080.31,1986517.34,1.16,1.24,1.25,16268.58,1.48,0.26,1.74,22505.87,0.27,3563.92,158.74,1964011.47,30049.38,16497.7,0.0,160.27,1997395.65,166449.64,0.9892,0.0027,0.9973,12963.76,19445.64,16268.58,0.78,18113.61,22731.27,21.5,0.7457,0.0072,0.0
20,top_customer_loss,160.27,1084.71,1997395.65,1.11,2.81,1.24,16164.19,1.44,0.25,1.7,22068.3,0.27,3547.55,158.58,1975327.35,29618.06,16592.75,0.0,160.09,2008064.4,167338.7,0.9894,0.0028,0.9972,13016.58,19524.86,16164.19,0.78,18187.41,22585.41,21.5,0.7441,0.0069,0.0
21,top_customer_loss,160.09,1089.13,2008064.4,1.08,1.16,2.81,36689.95,1.42,0.25,1.67,21770.14,0.27,3521.5,158.42,1986294.26,29337.55,16684.87,0.0,161.5,2039158.39,169929.87,0.9896,0.0028,0.9972,13069.61,19604.41,36689.95,0.7802,18261.51,51265.03,21.49,0.866,0.0067,0.0
