Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
1,base,1252.64,9.6396,39.37,0.0,31.86,7.96,39.82,0.0,0.0,0.0,1212.82,0.0,11691.13,0.045,11165.03,29.23,17.54,11176.72,134120.7,0.0318,0.0,0.0314,0.0,0.0,0.0041
2,base,1212.82,9.6789,48.05,39.37,31.77,7.94,39.71,3.19,2.79,5.97,1218.46,0.0,11793.3,0.045,11262.6,28.53,17.12,11274.01,135288.13,0.0278,0.1504,0.0396,0.0,0.0,0.0041
3,base,1218.46,9.7183,50.08,48.05,33.02,8.26,41.28,5.04,3.56,8.6,1233.83,0.0,11990.72,0.045,11451.14,28.81,17.29,11462.66,137551.92,0.0268,0.2083,0.0411,0.0,0.0,0.0041
4,base,1233.83,9.7579,44.02,50.08,34.22,8.56,42.78,6.9,4.06,10.96,1252.09,-0.0,12217.77,0.045,11667.97,29.32,17.59,11679.7,140156.43,0.0258,0.2563,0.0357,0.0,0.0,0.0041
5,base,1252.09,9.7977,36.68,44.02,35.01,8.75,43.77,7.68,4.39,12.07,1264.42,0.0,12388.33,0.045,11830.85,29.89,17.94,11842.81,142113.69,0.0253,0.2758,0.0293,0.0,0.0,0.0041
6,base,1264.42,9.8376,35.25,36.68,35.1,8.78,43.88,8.46,4.62,13.09,1270.31,-0.0,12496.74,0.045,11934.38,30.34,18.2,11946.52,143358.21,0.0244,0.2982,0.0279,0.0,0.0,0.0041
7,base,1270.31,9.8777,39.41,35.25,34.66,8.66,43.32,9.16,4.76,13.92,1276.16,0.0,12605.51,0.045,12038.27,30.64,18.39,12050.52,144606.28,0.0231,0.3214,0.031,0.0,0.0,0.0041
8,base,1276.16,9.9179,42.83,39.41,34.16,8.54,42.7,9.76,4.74,14.5,1287.38,0.0,12768.1,0.045,12193.54,30.94,18.57,12205.91,146470.95,0.0221,0.3396,0.0336,0.0,0.0,0.0041
9,base,1287.38,9.9583,40.85,42.83,34.07,8.52,42.59,10.27,4.7,14.98,1302.6,-0.0,12971.75,0.045,12388.02,31.36,18.82,12400.56,148806.74,0.0214,0.3517,0.0317,0.0,0.0,0.0041
10,base,1302.6,9.9989,34.72,40.85,34.43,8.61,43.04,10.79,4.69,15.47,1315.89,-0.0,13157.44,0.045,12565.36,31.87,19.12,12578.1,150937.25,0.0212,0.3595,0.0267,0.0,0.0,0.0041
11,base,1315.89,10.0396,29.85,34.72,35.28,8.82,44.1,11.13,4.71,15.84,1322.35,0.0,13275.91,0.045,12678.49,32.32,19.39,12691.42,152297.04,0.0215,0.3591,0.0227,0.0,0.0,0.0041
12,base,1322.35,10.0805,31.31,29.85,36.42,9.11,45.53,11.55,4.79,16.34,1323.01,0.0,13336.63,0.045,12736.49,32.59,19.55,12749.52,152994.25,0.0221,0.3589,0.0237,0.0,0.0,0.0041
13,base,1323.01,10.1216,39.46,31.31,37.8,9.45,47.25,12.05,4.91,16.95,1324.02,-0.0,13401.19,0.045,12798.14,32.71,19.63,12811.22,153734.65,0.0229,0.3588,0.0298,0.0,0.0,0.0069
14,base,1324.02,10.1628,48.34,39.46,39.14,9.78,48.92,12.32,5.07,17.39,1331.94,0.0,13536.29,0.045,12927.16,32.84,19.7,12940.29,155283.5,0.0238,0.3554,0.0365,0.0,0.0,0.0069
15,base,1331.94,10.2042,50.34,48.34,40.43,10.11,50.54,12.63,5.24,17.87,1347.62,0.0,13751.39,0.045,13132.58,33.15,19.89,13145.84,157750.08,0.0245,0.3536,0.0378,0.0,0.0,0.0069
16,base,1347.62,10.2458,44.17,50.34,41.37,10.34,51.71,12.96,5.41,18.37,1364.62,0.0,13981.68,0.045,13352.5,33.66,20.2,13365.97,160391.63,0.0247,0.3553,0.0328,0.0,0.0,0.0069
17,base,1364.62,10.2876,36.72,44.17,41.69,10.42,52.11,13.26,5.56,18.82,1375.5,-0.0,14150.57,0.045,13513.8,34.24,20.54,13527.49,162329.91,0.0244,0.3612,0.0269,0.0,0.0,0.0069
18,base,1375.5,10.3295,35.23,36.72,41.23,10.31,51.53,13.5,5.64,19.14,1379.83,0.0,14252.91,0.045,13611.53,34.68,20.81,13625.4,163504.82,0.0235,0.3715,0.0256,0.0,0.0,0.0069
19,base,1379.83,10.3715,39.36,35.23,40.24,10.06,50.29,13.63,5.64,19.27,1384.03,-0.0,14354.56,0.045,13708.6,34.97,20.98,13722.59,164671.13,0.0225,0.383,0.0285,0.0,0.0,0.0069
20,base,1384.03,10.4138,42.76,39.36,39.25,9.81,49.06,13.64,5.56,19.2,1393.53,-0.0,14511.96,0.045,13858.92,35.26,21.15,13873.02,166476.27,0.0216,0.3913,0.0309,0.0,0.0,0.0069
21,base,1393.53,10.4562,40.72,42.76,38.73,9.68,48.41,13.58,5.45,19.03,1406.91,0.0,14710.93,0.045,14048.94,35.66,21.4,14063.2,168758.45,0.0211,0.393,0.0292,0.0,0.0,0.0069
22,base,1406.91,10.4988,34.55,40.72,38.84,9.71,48.54,13.51,5.37,18.88,1417.97,0.0,14887.02,0.045,14217.1,36.15,21.69,14231.56,170778.75,0.0211,0.389,0.0246,0.0,0.0,0.0069
23,base,1417.97,10.5416,29.66,34.55,39.49,9.87,49.36,13.51,5.35,18.86,1422.02,-0.0,14990.33,0.045,14315.76,36.57,21.94,14330.39,171964.67,0.0215,0.382,0.0209,0.0,0.0,0.0069
24,base,1422.02,10.5846,31.1,29.66,40.5,10.13,50.63,13.59,5.39,18.97,1420.03,0.0,15030.35,0.045,14353.98,36.79,22.07,14368.7,172424.4,0.0223,0.3748,0.0219,0.0,0.0,0.0069
