Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
1,bull,1252.64,9.6396,44.09,0.0,31.22,7.81,39.03,0.0,0.0,0.0,1213.62,0.0,11698.79,0.03,11347.82,29.25,17.2,11359.87,136318.46,0.0312,0.0,0.0352,-0.02,-0.01,0.0041
2,bull,1213.62,9.6789,54.91,44.09,30.86,7.72,38.58,3.12,2.73,5.85,1224.98,0.0,11856.46,0.03,11500.77,28.57,16.8,11512.54,138150.52,0.027,0.1517,0.0452,-0.02,-0.01,0.0041
3,bull,1224.98,9.7183,57.26,54.91,32.29,8.07,40.36,4.91,3.46,8.37,1247.91,0.0,12127.57,0.03,11763.74,28.98,17.04,11775.68,141308.19,0.0261,0.2075,0.0467,-0.02,-0.01,0.0041
4,bull,1247.91,9.7579,49.37,57.26,33.71,8.43,42.14,6.74,3.97,10.71,1273.74,0.0,12429.02,0.03,12056.15,29.68,17.45,12068.38,144820.53,0.0252,0.2541,0.0396,-0.02,-0.01,0.0041
5,bull,1273.74,9.7977,40.0,49.37,34.72,8.68,43.4,7.52,4.32,11.84,1291.55,-0.0,12654.14,0.03,12274.51,30.43,17.89,12287.05,147444.57,0.0248,0.2728,0.0314,-0.02,-0.01,0.0041
6,bull,1291.55,9.8376,38.43,40.0,34.94,8.74,43.68,8.34,4.57,12.9,1300.77,-0.0,12796.44,0.03,12412.55,31.01,18.23,12425.33,149103.91,0.0238,0.2954,0.0298,-0.02,-0.01,0.0041
7,bull,1300.77,9.8777,44.19,38.43,34.55,8.64,43.19,9.06,4.72,13.79,1309.8,0.0,12937.78,0.03,12549.65,31.4,18.46,12562.58,150750.98,0.0226,0.3192,0.034,-0.02,-0.01,0.0041
8,bull,1309.8,9.9179,48.99,44.19,34.1,8.53,42.63,9.67,4.72,14.39,1325.75,-0.0,13148.69,0.03,12754.23,31.78,18.68,12767.32,153207.86,0.0216,0.3376,0.0374,-0.02,-0.01,0.0041
9,bull,1325.75,9.9583,46.7,48.99,34.11,8.53,42.63,10.2,4.69,14.89,1346.99,0.0,13413.8,0.03,13011.38,32.31,19.0,13024.7,156296.37,0.0209,0.3492,0.0352,-0.02,-0.01,0.0041
10,bull,1346.99,9.9989,38.87,46.7,34.6,8.65,43.25,10.73,4.68,15.41,1365.85,0.0,13656.98,0.03,13247.27,32.98,19.39,13260.86,159130.27,0.0207,0.3563,0.0289,-0.02,-0.01,0.0041
11,bull,1365.85,10.0396,32.45,38.87,35.59,8.9,44.48,11.09,4.72,15.81,1376.05,0.0,13815.02,0.03,13400.57,33.56,19.73,13414.39,160972.72,0.021,0.3555,0.0238,-0.02,-0.01,0.0041
