Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
1,competition,1252.64,9.6281,30.71,0.0,36.11,9.03,45.14,0.0,0.0,0.0,1207.51,0.0,11625.94,0.05,11044.64,21.31,22.45,11043.5,132521.95,0.036,0.0,0.0245,0.03,0.12,0.0029
2,competition,1207.51,9.6557,36.55,30.71,36.19,9.05,45.23,3.61,3.16,6.77,1199.75,0.0,11584.44,0.05,11005.22,20.69,21.8,11004.11,132049.28,0.0319,0.1497,0.0303,0.03,0.12,0.0029
3,competition,1199.75,9.6834,38.02,36.55,37.05,9.26,46.31,5.73,4.05,9.78,1199.77,0.0,11617.84,0.05,11036.94,20.65,21.75,11035.84,132430.04,0.0305,0.2111,0.0317,0.03,0.12,0.0029
4,competition,1199.77,9.7112,34.2,38.02,37.82,9.45,47.27,7.8,4.57,12.37,1202.88,0.0,11681.48,0.05,11097.4,20.74,21.85,11096.29,133155.49,0.0291,0.2617,0.0285,0.03,0.12,0.0029
5,competition,1202.88,9.7391,29.42,34.2,38.22,9.56,47.78,8.59,4.89,13.48,1202.79,0.0,11714.12,0.05,11128.41,20.86,21.98,11127.29,133527.53,0.0285,0.2822,0.0245,0.03,0.12,0.0029
6,competition,1202.79,9.7671,28.25,29.42,38.03,9.51,47.53,9.37,5.08,14.46,1199.13,0.0,11712.0,0.05,11126.4,20.94,22.06,11125.27,133503.28,0.0275,0.3041,0.0235,0.03,0.12,0.0029
7,competition,1199.13,9.7951,30.54,28.25,37.4,9.35,46.75,10.07,5.19,15.26,1195.89,0.0,11713.88,0.05,11128.18,20.96,22.09,11127.06,133524.7,0.0263,0.3265,0.0255,0.03,0.12,0.0029
8,competition,1195.89,9.8232,32.36,30.54,36.75,9.19,45.93,10.66,5.15,15.81,1196.3,-0.0,11751.57,0.05,11163.99,20.99,22.12,11162.87,133954.39,0.0252,0.3442,0.0271,0.03,0.12,0.0029
9,competition,1196.3,9.8514,30.85,32.36,36.46,9.11,45.57,11.19,5.08,16.27,1199.36,0.0,11815.44,0.05,11224.67,21.07,22.2,11223.54,134682.5,0.0245,0.357,0.0258,0.03,0.12,0.0029
10,competition,1199.36,9.8797,26.87,30.85,36.57,9.14,45.71,11.71,5.03,16.75,1201.25,-0.0,11867.99,0.05,11274.59,21.2,22.33,11273.46,135281.49,0.0241,0.3663,0.0224,0.03,0.12,0.0029
11,competition,1201.25,9.9081,23.87,26.87,37.13,9.28,46.42,12.02,5.02,17.04,1198.75,0.0,11877.31,0.05,11283.45,21.28,22.42,11282.31,135387.67,0.0245,0.3672,0.0199,0.03,0.12,0.0029
12,competition,1198.75,9.9365,25.03,23.87,37.99,9.5,47.49,12.4,5.06,17.47,1192.6,0.0,11850.28,0.05,11257.76,21.29,22.43,11256.62,135079.46,0.025,0.3678,0.0209,0.03,0.12,0.0029
13,competition,1192.6,9.965,30.51,25.03,39.06,9.76,48.82,12.84,5.15,17.99,1186.8,0.0,11826.55,0.05,11235.23,21.22,22.36,11234.09,134809.07,0.0259,0.3685,0.0256,0.03,0.12,0.0049
14,competition,1186.8,9.9937,36.44,30.51,40.09,10.02,50.12,13.02,5.27,18.29,1185.49,0.0,11847.37,0.05,11255.01,21.16,22.29,11253.87,135046.46,0.0268,0.365,0.0307,0.03,0.12,0.0049
15,competition,1185.49,10.0223,37.95,36.44,41.04,10.26,51.29,13.24,5.4,18.64,1189.27,0.0,11919.31,0.05,11323.35,21.18,22.31,11322.21,135866.57,0.0275,0.3633,0.032,0.03,0.12,0.0049
16,competition,1189.27,10.0511,34.15,37.95,41.62,10.4,52.02,13.46,5.53,18.99,1194.19,-0.0,12002.94,0.05,11402.79,21.3,22.44,11401.65,136819.79,0.0278,0.365,0.0287,0.03,0.12,0.0049
17,competition,1194.19,10.08,29.38,34.15,41.66,10.41,52.07,13.66,5.62,19.28,1195.55,0.0,12051.15,0.05,11448.6,21.46,22.61,11447.45,137369.36,0.0275,0.3703,0.0246,0.03,0.12,0.0049
18,competition,1195.55,10.1089,28.22,29.38,41.06,10.27,51.33,13.79,5.67,19.46,1193.07,0.0,12060.61,0.05,11457.58,21.56,22.72,11456.42,137477.09,0.0267,0.3791,0.0236,0.03,0.12,0.0049
19,competition,1193.07,10.1379,30.51,28.22,40.05,10.01,50.06,13.84,5.64,19.47,1190.69,0.0,12071.18,0.05,11467.62,21.6,22.76,11466.46,137597.54,0.0256,0.389,0.0256,0.03,0.12,0.0049
20,competition,1190.69,10.167,32.34,30.51,39.05,9.76,48.81,13.78,5.54,19.33,1191.72,0.0,12116.3,0.05,11510.48,21.64,22.8,11509.32,138111.88,0.0248,0.396,0.0272,0.03,0.12,0.0049
21,competition,1191.72,10.1962,30.83,32.34,38.43,9.61,48.03,13.67,5.43,19.1,1195.12,0.0,12185.76,0.05,11576.47,21.73,22.9,11575.3,138903.65,0.0243,0.3976,0.0259,0.03,0.12,0.0049
22,competition,1195.12,10.2255,26.86,30.83,38.34,9.59,47.93,13.56,5.34,18.89,1196.92,-0.0,12239.13,0.05,11627.17,21.86,23.03,11626.0,139512.01,0.0243,0.3942,0.0225,0.03,0.12,0.0049
