Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
1,failed_price,1252.64,9.6242,36.22,0.0,32.61,8.15,40.76,0.0,0.0,0.0,1211.88,0.0,11663.39,0.045,11138.53,25.4,20.32,11143.62,133723.41,0.0325,0.0,0.0289,0.01,0.02,0.0025
2,failed_price,1211.88,9.6479,44.2,36.22,32.62,8.16,40.78,3.26,2.85,6.11,1213.44,0.0,11707.17,0.045,11180.35,24.74,19.79,11185.3,134223.56,0.0286,0.1499,0.0365,0.01,0.02,0.0025
3,failed_price,1213.44,9.6717,46.04,44.2,33.76,8.44,42.2,5.17,3.65,8.82,1224.27,0.0,11840.75,0.045,11307.92,24.86,19.88,11312.89,135754.67,0.0275,0.209,0.0379,0.01,0.02,0.0025
4,failed_price,1224.27,9.6956,40.46,46.04,34.83,8.71,43.53,7.07,4.15,11.22,1238.0,0.0,12003.1,0.045,11462.96,25.17,20.13,11467.99,137615.93,0.0264,0.2578,0.0331,0.01,0.02,0.0025
5,failed_price,1238.0,9.7195,33.71,40.46,35.5,8.87,44.37,7.84,4.48,12.32,1246.41,-0.0,12114.47,0.045,11569.32,25.53,20.42,11574.43,138893.11,0.0259,0.2777,0.0272,0.01,0.02,0.0025
6,failed_price,1246.41,9.7434,32.39,33.71,35.49,8.87,44.36,8.62,4.7,13.31,1249.07,-0.0,12170.27,0.045,11622.61,25.79,20.63,11627.77,139533.21,0.0249,0.3001,0.026,0.01,0.02,0.0025
7,failed_price,1249.07,9.7675,36.21,32.39,35.55,8.89,44.43,9.31,4.82,14.13,1251.16,0.0,12220.67,0.045,11670.74,25.93,20.74,11675.92,140111.1,0.0243,0.318,0.029,0.01,0.02,0.0225
8,failed_price,1251.16,9.7916,39.35,36.21,34.98,8.74,43.72,9.95,4.85,14.79,1258.44,0.0,12322.08,0.045,11767.59,26.07,20.85,11772.81,141273.66,0.0231,0.3383,0.0315,0.01,0.02,0.0225
9,failed_price,1258.44,9.8157,37.53,39.35,34.82,8.7,43.52,10.49,4.81,15.3,1269.56,0.0,12461.66,0.045,11900.88,26.3,21.04,11906.14,142873.72,0.0224,0.3515,0.0298,0.01,0.02,0.0225
10,failed_price,1269.56,9.8399,31.91,37.53,34.5,8.63,43.13,11.02,4.79,15.81,1279.78,-0.0,12592.9,0.045,12026.22,26.62,21.3,12031.55,144378.59,0.0215,0.3667,0.0251,0.01,0.02,0.0025
11,failed_price,1279.78,9.8642,27.44,31.91,35.28,8.82,44.1,11.3,4.75,16.05,1283.64,-0.0,12662.06,0.045,12092.27,26.89,21.51,12097.65,145171.78,0.0219,0.364,0.0214,0.01,0.02,0.0025
12,failed_price,1283.64,9.8885,28.79,27.44,36.34,9.08,45.42,11.68,4.81,16.49,1282.14,0.0,12678.48,0.045,12107.95,27.02,21.62,12113.36,145360.3,0.0225,0.363,0.0224,0.01,0.02,0.0025
13,failed_price,1282.14,9.9129,36.28,28.79,37.59,9.4,46.99,12.13,4.91,17.04,1280.98,0.0,12698.25,0.045,12126.83,27.04,21.63,12132.24,145586.84,0.0234,0.3627,0.0283,0.01,0.02,0.0042
14,failed_price,1280.98,9.9374,44.45,36.28,38.84,9.71,48.54,12.37,5.05,17.43,1286.14,0.0,12780.85,0.045,12205.71,27.05,21.64,12211.12,146533.47,0.0243,0.359,0.0347,0.01,0.02,0.0042
15,failed_price,1286.14,9.9619,46.3,44.45,40.02,10.01,50.03,12.65,5.21,17.86,1298.42,0.0,12934.69,0.045,12352.63,27.21,21.76,12358.07,148296.87,0.025,0.357,0.036,0.01,0.02,0.0042
