Month,Scenario,Beginning Subscribers,Subscriber-Weighted ARPU,New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Net Expansion MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Price Pressure,Competition Pressure,Macro Shock
1,base,1252.65,9.6396,33.4,31.88,7.97,39.85,0.0,0.0,0.0,1246.2,0.0,12012.9,0.045,11472.32,29.23,17.54,11.69,11484.01,137808.14,0.0318,0.0,0.0267,0.0041,0.0,0.0
2,base,1246.2,9.6789,35.45,32.93,8.23,41.16,3.19,2.79,5.98,1246.47,-0.0,12064.44,0.045,11521.54,29.3,17.58,11.72,11533.26,138399.16,0.0282,0.1452,0.0284,0.0041,0.0,0.0
3,base,1246.47,9.7183,36.92,34.02,8.51,42.53,5.16,3.66,8.82,1249.68,0.0,12144.77,0.045,11598.25,29.46,17.68,11.79,11610.04,139320.49,0.027,0.2073,0.0296,0.0041,0.0,0.0
4,base,1249.68,9.7579,37.43,34.8,8.7,43.5,7.07,4.18,11.25,1254.86,-0.0,12244.78,0.045,11693.77,29.7,17.82,11.88,11705.65,140467.78,0.0258,0.2586,0.03,0.0041,0.0,0.0
5,base,1254.86,9.7977,36.86,35.14,8.78,43.92,7.86,4.48,12.34,1260.14,0.0,12346.39,0.045,11790.8,29.96,17.98,11.99,11802.79,141633.48,0.0252,0.281,0.0294,0.0041,0.0,0.0
6,base,1260.14,9.8376,35.35,34.99,8.75,43.73,8.59,4.67,13.25,1265.01,-0.0,12444.64,0.045,11884.63,30.24,18.15,12.1,11896.73,142760.73,0.0242,0.3031,0.0281,0.0041,0.0,0.0
7,base,1265.01,9.8776,33.32,34.51,8.63,43.14,9.23,4.77,14.0,1269.19,0.0,12536.65,0.045,11972.5,30.52,18.31,12.21,11984.71,143816.51,0.023,0.3246,0.0263,0.0041,0.0,0.0
8,base,1269.19,9.9179,31.29,33.96,8.49,42.46,9.79,4.74,14.53,1272.56,0.0,12621.11,0.045,12053.16,30.78,18.47,12.31,12065.47,144785.61,0.022,0.3423,0.0247,0.0041,0.0,0.0
9,base,1272.56,9.9583,29.8,33.53,8.38,41.91,10.29,4.69,14.98,1275.43,0.0,12701.08,0.045,12129.53,31.01,18.61,12.4,12141.94,145703.22,0.0212,0.3573,0.0234,0.0041,0.0,0.0
10,base,1275.43,9.9989,29.25,33.53,8.38,41.91,10.76,4.63,15.39,1278.16,-0.0,12780.19,0.045,12205.08,31.22,18.73,12.49,12217.57,146610.8,0.0208,0.3673,0.0229,0.0041,0.0,0.0
11,base,1278.16,10.0396,29.76,34.07,8.52,42.59,11.04,4.61,15.65,1280.99,0.0,12860.68,0.045,12281.95,31.4,18.84,12.56,12294.51,147534.17,0.0211,0.3676,0.0233,0.0041,0.0,0.0
12,base,1280.99,10.0805,31.2,35.11,8.78,43.88,11.38,4.65,16.03,1284.34,0.0,12946.85,0.045,12364.24,31.58,18.95,12.63,12376.87,148522.48,0.0217,0.3653,0.0244,0.0041,0.0,0.0
13,base,1284.34,10.1216,33.17,36.58,9.15,45.73,11.81,4.75,16.55,1288.34,0.0,13040.03,0.045,12453.23,31.76,19.06,12.7,12465.93,149591.17,0.0227,0.362,0.0258,0.0073,0.0,0.0
14,base,1288.34,10.1628,35.12,37.98,9.5,47.48,12.05,4.91,16.95,1292.93,0.0,13139.85,0.045,12548.55,31.96,19.17,12.78,12561.34,150736.03,0.0237,0.3571,0.0273,0.0073,0.0,0.0
15,base,1292.93,10.2042,36.53,39.06,9.77,48.83,12.33,5.08,17.41,1298.05,0.0,13245.57,0.045,12649.52,32.18,19.31,12.87,12662.39,151948.71,0.0243,0.3566,0.0283,0.0073,0.0,0.0
16,base,1298.05,10.2458,37.01,39.65,9.91,49.56,12.62,5.23,17.85,1303.35,-0.0,13353.89,0.045,12752.97,32.44,19.46,12.97,12765.94,153191.3,0.0244,0.3602,0.0285,0.0073,0.0,0.0
17,base,1303.35,10.2875,36.43,39.64,9.91,49.54,12.85,5.34,18.2,1308.43,-0.0,13460.54,0.045,12854.82,32.71,19.63,13.09,12867.9,154414.84,0.0241,0.3673,0.0279,0.0073,0.0,0.0
18,base,1308.43,10.3294,34.93,39.08,9.77,48.85,13.01,5.39,18.39,1312.9,0.0,13561.57,0.045,12951.29,33.0,19.8,13.2,12964.5,155573.95,0.0233,0.3766,0.0267,0.0073,0.0,0.0
19,base,1312.9,10.3715,32.91,38.18,9.54,47.72,13.07,5.36,18.43,1316.52,-0.0,13654.28,0.045,13039.83,33.28,19.97,13.31,13053.15,156637.75,0.0223,0.3862,0.0251,0.0073,0.0,0.0
20,base,1316.52,10.4138,30.9,37.22,9.31,46.53,13.04,5.28,18.32,1319.21,0.0,13737.92,0.045,13119.71,33.54,20.12,13.42,13133.13,157597.55,0.0214,0.3938,0.0235,0.0073,0.0,0.0
21,base,1319.21,10.4562,29.43,36.52,9.13,45.65,12.96,5.17,18.13,1321.11,0.0,13813.84,0.045,13192.22,33.77,20.26,13.51,13205.73,158468.74,0.0209,0.3972,0.0223,0.0073,0.0,0.0
22,base,1321.11,10.4988,28.88,36.31,9.08,45.39,12.86,5.08,17.94,1322.55,0.0,13885.16,0.045,13260.33,33.95,20.37,13.58,13273.91,159286.95,0.0208,0.3952,0.0219,0.0073,0.0,0.0
23,base,1322.55,10.5416,29.4,36.69,9.17,45.87,12.8,5.02,17.82,1323.9,-0.0,13955.98,0.045,13327.96,34.12,20.47,13.65,13341.61,160099.27,0.0212,0.3885,0.0222,0.0073,0.0,0.0
24,base,1323.9,10.5845,30.83,37.61,9.4,47.01,12.81,5.03,17.84,1325.55,0.0,14030.35,0.045,13398.98,34.26,20.56,13.7,13412.69,160952.24,0.022,0.3794,0.0233,0.0073,0.0,0.0
