Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
1,recession,1252.64,9.6319,28.35,0.0,35.01,8.75,43.76,0.0,0.0,0.0,1208.88,0.0,11643.85,0.06,10945.22,21.4,26.41,10940.21,131282.5,0.0349,0.0,0.0226,0.12,0.04,0.0033
2,recession,1208.88,9.6635,33.42,28.35,36.54,9.14,45.68,3.5,3.06,6.56,1198.11,0.0,11577.89,0.06,10883.22,20.77,25.64,10878.35,130540.21,0.0324,0.1437,0.0276,0.12,0.04,0.0033
3,recession,1198.11,9.6951,34.75,33.42,37.29,9.32,46.61,5.7,4.05,9.75,1194.67,0.0,11582.42,0.06,10887.47,20.69,25.53,10882.62,130591.48,0.0308,0.2093,0.029,0.12,0.04,0.0033
4,recession,1194.67,9.7268,31.55,34.75,37.93,9.48,47.41,7.78,4.59,12.37,1194.38,-0.0,11617.53,0.06,10920.48,20.73,25.58,10915.62,130987.44,0.0293,0.2609,0.0264,0.12,0.04,0.0033
5,recession,1194.38,9.7587,27.46,31.55,38.2,9.55,47.76,8.62,4.9,13.52,1191.69,-0.0,11629.35,0.06,10931.59,20.8,25.68,10926.72,131120.59,0.0287,0.2831,0.023,0.12,0.04,0.0033
6,recession,1191.69,9.7906,26.36,27.46,37.92,9.48,47.4,9.38,5.09,14.46,1186.22,0.0,11613.81,0.06,10916.98,20.85,25.73,10912.09,130945.12,0.0276,0.3051,0.0221,0.12,0.04,0.0033
7,recession,1186.22,9.8227,28.14,26.36,37.24,9.31,46.55,10.05,5.18,15.24,1181.26,0.0,11603.19,0.06,10906.99,20.85,25.73,10902.11,130825.33,0.0264,0.3274,0.0237,0.12,0.04,0.0033
8,recession,1181.26,9.8548,29.52,28.14,36.54,9.14,45.68,10.64,5.13,15.77,1179.49,0.0,11623.68,0.06,10926.26,20.85,25.73,10921.38,131056.52,0.0253,0.3452,0.025,0.12,0.04,0.0033
9,recession,1179.49,9.8871,28.13,29.52,36.19,9.05,45.24,11.15,5.06,16.21,1179.98,-0.0,11666.57,0.06,10966.58,20.9,25.8,10961.68,131540.16,0.0246,0.3583,0.0238,0.12,0.04,0.0033
10,recession,1179.98,9.9195,24.74,28.13,36.22,9.06,45.28,11.66,5.0,16.66,1179.49,-0.0,11699.91,0.06,10997.91,20.99,25.9,10993.0,131915.95,0.0243,0.3679,0.021,0.12,0.04,0.0033
