Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
1,saturation,1252.64,9.6358,22.48,0.0,33.75,8.44,42.19,0.0,0.0,0.0,1210.45,0.0,11663.67,0.045,11138.81,23.31,19.99,11142.13,133705.59,0.0337,0.0,0.0179,0.02,0.05,0.0037
2,saturation,1210.45,9.6712,26.46,22.48,33.84,8.46,42.3,3.38,2.95,6.33,1196.96,0.0,11576.03,0.045,11055.11,22.7,19.46,11058.35,132700.15,0.0297,0.1496,0.0219,0.02,0.05,0.0037
3,saturation,1196.96,9.7067,27.55,26.46,34.45,8.61,43.06,5.36,3.78,9.14,1189.5,0.0,11546.18,0.045,11026.6,22.56,19.35,11029.82,132357.87,0.0283,0.2123,0.023,0.02,0.05,0.0037
4,saturation,1189.5,9.7424,25.2,27.55,34.87,8.72,43.59,7.27,4.26,11.53,1184.99,0.0,11544.69,0.045,11025.17,22.54,19.32,11028.39,132340.68,0.027,0.2645,0.0212,0.02,0.05,0.0037
5,saturation,1184.99,9.7782,22.13,25.2,34.92,8.73,43.65,7.97,4.52,12.5,1179.04,-0.0,11528.87,0.045,11010.07,22.55,19.33,11013.29,132159.49,0.0263,0.2863,0.0187,0.02,0.05,0.0037
6,saturation,1179.04,9.8141,21.24,22.13,34.47,8.62,43.08,8.64,4.67,13.31,1171.39,0.0,11496.17,0.045,10978.85,22.54,19.33,10982.06,131784.75,0.0253,0.3089,0.018,0.02,0.05,0.0037
7,saturation,1171.39,9.8502,22.48,21.24,33.68,8.42,42.09,9.23,4.73,13.96,1164.5,0.0,11470.51,0.045,10954.34,22.51,19.3,10957.55,131490.62,0.024,0.3316,0.0192,0.02,0.05,0.0037
8,saturation,1164.5,9.8864,23.43,22.48,32.88,8.22,41.1,9.72,4.66,14.38,1160.26,0.0,11470.74,0.045,10954.56,22.48,19.28,10957.77,131493.22,0.0229,0.3498,0.0201,0.02,0.05,0.0037
9,saturation,1160.26,9.9227,22.33,23.43,32.41,8.1,40.51,10.16,4.57,14.72,1157.9,0.0,11489.52,0.045,10972.49,22.5,19.29,10975.7,131708.37,0.0222,0.3634,0.0192,0.02,0.05,0.0037
10,saturation,1157.9,9.9592,19.77,22.33,32.32,8.08,40.4,10.58,4.49,15.08,1154.9,0.0,11501.89,0.045,10984.3,22.54,19.33,10987.52,131850.22,0.0219,0.3731,0.0171,0.02,0.05,0.0037
11,saturation,1154.9,9.9958,17.93,19.77,32.7,8.17,40.87,10.81,4.46,15.27,1149.06,-0.0,11485.81,0.045,10968.95,22.56,19.34,10972.16,131665.97,0.0222,0.3735,0.0155,0.02,0.05,0.0037
12,saturation,1149.06,10.0325,18.8,17.93,33.4,8.35,41.76,11.1,4.47,15.57,1140.81,-0.0,11445.21,0.045,10930.18,22.52,19.3,10933.39,131200.7,0.0228,0.3729,0.0164,0.02,0.05,0.0037
13,saturation,1140.81,10.0694,22.43,18.8,34.36,8.59,42.95,11.45,4.54,15.99,1132.66,0.0,11405.16,0.045,10891.93,22.42,19.22,10895.13,130741.53,0.0236,0.3724,0.0197,0.02,0.05,0.0062
14,saturation,1132.66,10.1064,26.35,22.43,35.25,8.81,44.06,11.58,4.64,16.21,1127.25,0.0,11392.39,0.045,10879.73,22.32,19.13,10882.91,130594.96,0.0246,0.368,0.0233,0.02,0.05,0.0062
15,saturation,1127.25,10.1435,27.43,26.35,35.98,9.0,44.98,11.73,4.75,16.48,1125.1,-0.0,11412.52,0.045,10898.96,22.28,19.1,10902.14,130825.66,0.0253,0.3664,0.0243,0.02,0.05,0.0062
16,saturation,1125.1,10.1808,25.08,27.43,36.32,9.08,45.4,11.89,4.85,16.75,1123.88,0.0,11441.99,0.045,10927.1,22.31,19.13,10930.28,131163.41,0.0255,0.3689,0.0223,0.02,0.05,0.0062
17,saturation,1123.88,10.2182,22.02,25.08,36.16,9.04,45.19,12.02,4.92,16.94,1120.71,0.0,11451.67,0.045,10936.34,22.38,19.18,10939.53,131274.39,0.0251,0.3749,0.0196,0.02,0.05,0.0062
18,saturation,1120.71,10.2558,21.14,22.02,35.46,8.87,44.33,12.09,4.93,17.03,1115.43,0.0,11439.6,0.045,10924.81,22.41,19.22,10928.01,131136.14,0.0244,0.3841,0.0189,0.02,0.05,0.0062
19,saturation,1115.43,10.2935,22.37,21.14,34.44,8.61,43.05,12.08,4.88,16.96,1110.48,-0.0,11430.67,0.045,10916.29,22.41,19.21,10919.49,131033.85,0.0234,0.394,0.0201,0.02,0.05,0.0062
20,saturation,1110.48,10.3313,23.31,22.37,33.43,8.36,41.79,11.98,4.78,16.76,1107.82,0.0,11445.25,0.045,10930.21,22.41,19.22,10933.41,131200.9,0.0225,0.4012,0.021,0.02,0.05,0.0062
21,saturation,1107.82,10.3693,22.21,23.31,32.74,8.19,40.93,11.84,4.66,16.5,1106.7,-0.0,11475.67,0.045,10959.27,22.45,19.25,10962.47,131549.67,0.0221,0.4032,0.02,0.02,0.05,0.0062
22,saturation,1106.7,10.4074,19.66,22.21,32.53,8.13,40.66,11.7,4.56,16.26,1104.51,0.0,11495.02,0.045,10977.75,22.51,19.3,10980.96,131771.48,0.022,0.3999,0.0178,0.02,0.05,0.0062
23,saturation,1104.51,10.4456,17.83,19.66,32.77,8.19,40.96,11.6,4.5,16.1,1099.31,0.0,11482.96,0.045,10966.22,22.54,19.33,10969.44,131633.27,0.0225,0.3931,0.0161,0.02,0.05,0.0062
24,saturation,1099.31,10.484,18.69,17.83,33.35,8.34,41.68,11.56,4.5,16.06,1091.52,-0.0,11443.46,0.045,10928.51,22.5,19.29,10931.72,131180.61,0.0233,0.3853,0.017,0.02,0.05,0.0062
