Month,Scenario,Beginning Subscribers,Weighted ARPU,Generated Adds,Recognized New Adds,Voluntary Churn,Involuntary Churn,Gross Churn,Reactivated Voluntary,Reactivated Involuntary,Total Reactivations,Ending Subscribers,Bridge Check,Rate Card MRR,Billing Leakage %,Effective MRR,Gross Expansion MRR,Contraction MRR,Total MRR,ARR Run Rate,Net Churn Rate,Reactivation Dampening %,Acquisition Rate,Scenario Macro Shock,Scenario Competition,Price Pressure
1,stress,1252.64,9.6164,18.9,0.0,39.73,9.93,49.66,0.0,0.0,0.0,1202.98,0.0,11568.31,0.08,10642.85,15.96,32.76,10626.05,127512.58,0.0396,0.0,0.0151,0.18,0.16,0.0017
2,stress,1202.98,9.6322,21.64,18.9,41.81,10.45,52.26,3.97,3.48,7.45,1177.06,0.0,11337.76,0.08,10430.74,15.39,31.59,10414.54,124974.49,0.0373,0.1425,0.018,0.18,0.16,0.0017
3,stress,1177.06,9.6481,22.45,21.64,41.95,10.49,52.43,6.51,4.63,11.13,1157.4,0.0,11166.76,0.08,10273.42,15.12,31.03,10257.51,123090.15,0.0351,0.2123,0.0191,0.18,0.16,0.0017
4,stress,1157.4,9.6641,20.91,22.45,41.97,10.49,52.46,8.81,5.18,14.0,1141.39,0.0,11030.46,0.08,10148.02,14.92,30.62,10132.32,121587.85,0.0332,0.2668,0.0181,0.18,0.16,0.0017
5,stress,1141.39,9.68,18.78,20.91,41.68,10.42,52.1,9.67,5.46,15.13,1125.32,-0.0,10893.18,0.08,10021.73,14.75,30.28,10006.21,120074.48,0.0324,0.2904,0.0165,0.18,0.16,0.0017
6,stress,1125.32,9.696,17.97,18.78,40.95,10.24,51.19,10.4,5.6,15.99,1108.91,0.0,10752.01,0.08,9891.85,14.59,29.93,9876.5,118518.03,0.0313,0.3124,0.016,0.18,0.16,0.0017
7,stress,1108.91,9.712,18.47,17.97,39.94,9.99,49.93,11.04,5.64,16.69,1093.64,0.0,10621.5,0.08,9771.78,14.42,29.59,9756.61,117079.32,0.03,0.3343,0.0167,0.18,0.16,0.0017
8,stress,1093.64,9.7281,18.78,18.47,38.96,9.74,48.7,11.6,5.54,17.15,1080.57,-0.0,10511.83,0.08,9670.88,14.26,29.26,9655.88,115870.57,0.0288,0.3521,0.0172,0.18,0.16,0.0017
9,stress,1080.57,9.7442,17.84,18.78,38.28,9.57,47.85,12.1,5.42,17.52,1069.02,0.0,10416.73,0.08,9583.39,14.12,28.98,9568.53,114822.36,0.0281,0.3663,0.0165,0.18,0.16,0.0017
10,stress,1069.02,9.7602,16.08,17.84,37.95,9.49,47.44,12.59,5.32,17.91,1057.34,-0.0,10319.86,0.08,9494.27,14.0,28.73,9479.54,113754.45,0.0276,0.3775,0.015,0.18,0.16,0.0017
